;Aggregated and intercalibrated zCumNDVI data for eMODIS: extended by GIMMS for 1981S*-2000S* for Kenyan divisions
adminID, pixels, L+S_R2cv, L+S_R2cv_within, L+S_gain, L+S_offset, 1981S*, 1982L*, 1982S*, 1983L*, 1983S*, 1984L*, 1984S*, 1985L*, 1985S*, 1986L*, 1986S*, 1987L*, 1987S*, 1988L*, 1988S*, 1989L*, 1989S*, 1990L*, 1990S*, 1991L*, 1991S*, 1992L*, 1992S*, 1993L*, 1993S*, 1994L*, 1994S*, 1995L*, 1995S*, 1996L*, 1996S*, 1997L*, 1997S*, 1998L*, 1998S*, 1999L*, 1999S*, 2000L*, 2000S*, 2001L, 2001S, 2002L, 2002S, 2003L, 2003S, 2004L, 2004S, 2005L, 2005S, 2006L, 2006S, 2007L, 2007S, 2008L, 2008S, 2009L, 2009S, 2010L, 2010S, 2011L, 2011S, 2012L, 2012S
1,6378,0.706201, 0.757812, 1.34806, 0.418422, -4.83354,3.03529,8.86135,-10.1788,0.546336,-42.6725,-5.30451,4.15298,-7.18743,-7.87966,-13.0987,-2.35994,-2.96367,-0.282387,7.91842,7.54834,9.93768,-0.889320,0.977929,-12.7105,-6.79795,-14.2506,5.52212,-3.09372,-6.65876,-1.84260,16.3697,-17.0391,-0.214256,-8.62957,-3.43765,9.75603,20.7106,4.93992,2.09533,-13.7845,-6.51473,-34.8855,-8.08346,-1.83759,-3.95340,-16.3589,-6.22477,3.46184,-5.09614,5.86298,1.97958,8.85536,-6.76376,-5.18687,15.7903,14.0273,5.59674,2.25709,2.76659,-27.7868,-4.75474,19.3073,-3.08809,-2.60160,14.3859,12.3462,14.1643
2,6555,0.631146, 0.694746, 1.59228, 0.313258, 3.49904,7.03677,17.5597,2.85965,4.20562,-57.9850,-5.50204,11.2334,-8.79981,2.80427,-15.5387,3.83709,-7.48165,-0.879957,7.13517,10.1137,12.8933,6.94937,3.08187,-19.8302,-12.4986,-14.8331,5.59206,-5.21265,-11.1144,-7.16503,9.13997,-6.16552,4.07042,-8.03725,-3.81608,13.7033,24.8603,12.8758,9.24598,-6.24538,-6.49219,-45.2826,-4.14415,-1.04892,-4.40415,-17.0201,-5.02688,1.52794,-6.70611,3.63710,6.80480,10.2827,-12.3322,-4.19830,12.7102,19.2994,4.44333,1.49809,6.15032,-28.7912,-3.30946,21.6887,-2.88670,-6.87547,12.7889,16.6897,18.0562
3,4589,0.797533, 0.832134, 1.32823, 0.135730, -2.35756,8.61758,6.53945,-3.23694,4.19687,-24.4490,-2.41478,2.42446,-4.03416,4.82174,-5.94779,3.24300,-3.58019,0.766704,5.79684,11.2733,14.5608,8.77778,6.91342,-1.94518,-3.72735,-6.51979,6.84106,-0.859970,-9.24466,-1.81355,11.4893,-0.679152,4.16619,-1.35620,5.01651,10.2538,13.8631,11.4577,4.92727,1.44244,-6.63907,-28.2086,-5.90122,-3.45316,1.39764,-5.57456,-5.90663,2.66568,-3.37032,5.68782,0.842835,4.35147,-13.0950,-4.87517,12.5696,12.5008,2.29487,-1.26849,4.47565,-26.5947,-7.55412,21.0590,-1.63449,-4.49876,10.8591,5.46436,11.5179
4,5040,0.862725, 0.886381, 1.43691, 0.175448, -1.65532,8.39910,4.97536,-3.43370,-1.17252,-41.4110,-3.31078,4.42728,-8.58344,5.39583,-10.0749,3.78969,-8.52106,1.88369,4.42386,12.5569,9.54373,9.98112,4.31783,-10.1319,-8.42457,-9.01119,4.29276,-4.29347,-9.80169,3.34392,8.80516,-5.08146,-0.914579,-3.10920,-3.35077,14.2019,13.6022,13.0904,4.36959,2.00808,-5.56300,-27.2082,-6.54025,-5.08622,1.40057,-8.63274,-4.01767,3.34501,-3.14866,4.84533,-0.274584,2.97582,-10.9344,-1.03712,12.3195,14.8489,4.58024,-1.86526,3.01830,-23.8653,-5.66757,18.2032,-5.35336,-3.73159,12.1362,5.47666,11.8217
5,5141,0.809817, 0.843305, 1.34843, 0.217308, -5.90727,2.68704,5.57058,-3.78444,-3.55793,-36.8067,-3.01739,3.35502,-6.18227,-1.49543,-9.38346,1.09468,-6.51083,-0.122743,5.10912,5.72706,6.51777,1.92723,-0.256060,-13.0911,-7.83624,-11.4080,5.11754,-7.63267,-7.96053,-0.689680,7.58753,-15.5654,-4.92645,-6.28276,-6.58957,12.7240,11.3259,6.91860,2.47013,-7.14052,-6.29063,-27.5926,-5.62040,-4.28744,1.98925,-13.7187,-6.91401,3.12746,-4.77866,5.53378,-2.81725,4.03414,-9.72863,-3.35929,14.2659,17.6844,6.23462,-1.66459,4.11525,-27.2265,-3.31409,19.9235,-7.55029,-0.0468088,17.0332,12.8453,13.1087
6,18385,0.719294, 0.768850, 1.50083, 0.322393, -4.91040,0.0412830,9.68205,-17.9501,2.33762,-52.0816,-6.25388,2.22231,-4.48370,-13.6393,-12.5857,-1.45570,-1.92749,2.65594,5.94342,6.44817,11.5784,-8.04580,-0.477048,-21.4938,-4.79175,-20.4911,3.89926,-6.88050,-5.95139,-11.6510,11.0237,-25.8407,-0.646860,-11.3304,-4.06020,16.7188,26.5117,4.95211,1.74443,-5.05778,-2.35042,-35.7070,-4.86530,1.74962,0.584338,-16.1173,-6.30795,2.93324,-8.96061,-3.32593,-0.847542,4.09043,-8.60464,-8.71435,13.6667,18.1282,2.22767,0.543863,3.60152,-20.3486,1.74754,19.9742,-4.92987,1.08667,17.0584,17.1888,8.98474
7,4223,0.802553, 0.837234, 1.33145, 0.0192358, 3.19150,4.00307,9.31181,-2.83097,2.80715,-40.8913,-3.26155,7.31430,-12.7211,6.47956,-3.72339,3.63050,-4.78034,5.65411,-0.222860,7.84698,6.27653,11.6116,2.68151,-3.71166,-13.6678,-10.4431,3.22866,-0.838821,-15.5587,-0.355654,13.5263,-3.04434,2.31997,4.58664,-3.85008,8.83762,18.2044,8.46614,4.66317,0.820353,-2.87041,-21.2544,-6.54930,9.86619,2.52953,-0.687521,-3.37572,6.45922,4.28899,8.28901,3.41335,-0.256714,-11.0726,-7.83959,9.04366,13.3927,4.77926,-11.8155,1.50540,-32.6864,-8.68428,17.2715,-4.73428,-1.99299,6.14776,3.87826,8.30145
8,2316,0.758714, 0.800817, 1.54574, 0.328428, 0.917044,15.1264,14.2319,3.09696,8.77200,-38.1995,-2.00326,18.2660,-5.54035,3.58812,-11.9024,5.04227,-4.52537,-2.31683,4.69303,17.0337,19.3523,15.1305,7.31867,-7.83436,-4.26101,-7.97439,5.07541,-3.29890,-18.5817,-2.69884,15.6727,5.79430,9.23820,2.42292,5.56414,17.7268,17.8713,13.0873,3.79189,5.26223,-5.71588,-51.1391,-1.82040,-0.680649,-1.52262,-13.1322,-7.50114,4.45821,-5.55540,0.712773,2.66716,3.60077,-14.9080,-5.37487,14.2460,19.8956,6.24671,1.26263,5.87711,-29.1678,-3.78996,23.2393,-0.931820,-4.81386,10.5278,16.5109,18.9916
9,29716,0.690347, 0.745044, 1.27480, 0.162076, -3.49772,0.153914,11.2705,-6.84823,1.78579,-31.5453,-2.53451,6.92224,-1.70094,-0.116488,-7.35247,0.925153,-0.0723495,6.88565,6.13681,9.17806,9.71703,-3.75960,-1.62459,-10.1946,-2.18901,-15.4178,7.01893,-5.71230,-4.33561,-1.12320,5.81061,-15.3229,-2.87457,-3.98308,-1.94336,18.7805,21.8588,0.319781,1.85015,-5.15231,-3.86326,-23.9782,-3.22811,-4.30458,0.0795035,-13.3033,-7.71243,1.38464,-5.18724,1.06361,-0.178626,3.10734,-7.89299,-10.2466,13.0889,15.5632,1.37334,-2.24504,2.94980,-19.6566,-0.0347941,22.0790,-8.30033,6.55821,19.3058,20.6461,9.34402
10,8766,0.742174, 0.787601, 1.24990, -0.0543985, -6.16237,-1.98941,2.06726,-6.66681,-2.53559,-37.4519,-8.44106,5.19209,-11.3575,4.13664,-9.83819,3.64671,-6.65866,5.81886,-0.265425,5.74991,2.25232,-0.804075,-6.70653,-7.98678,-11.0984,-13.0849,-2.95019,-9.01198,-12.6833,-2.51785,1.38600,-9.50447,-5.39197,-1.57063,-5.24998,14.2488,13.0508,6.87597,0.796416,-2.29461,-7.27527,-22.1514,-6.04107,-8.54955,1.76777,-8.49237,-7.24736,5.86690,-4.86288,0.416913,-2.87154,-3.29690,-8.98918,-10.4298,12.1333,18.8060,1.31122,-2.00214,6.28724,-22.6161,-0.935391,24.3180,-5.98741,5.97908,17.7943,19.9826,15.8230
11,14296,0.711447, 0.762395, 1.40349, 0.0195556, -4.07125,-11.9979,11.0546,-15.4628,1.78022,-49.9862,-2.65245,-2.76851,-4.73996,0.739872,-3.10484,-1.72032,-0.488655,2.76105,3.96197,-2.77483,4.77294,-15.4680,-3.14565,-23.0670,-2.75610,-20.7653,1.39097,-15.8225,-7.85300,-6.84540,-0.0758051,-14.4076,-3.78320,-9.29070,-1.80104,10.3233,22.5651,-5.73345,2.11825,-8.53929,-5.75749,-34.0534,-4.37265,-0.681389,-1.75139,-6.51229,-9.43237,4.35911,-1.36246,1.20015,1.23746,-0.130428,-10.0459,-8.24254,13.8681,17.3171,2.65539,-9.31187,3.51561,-27.4005,-4.22042,23.0830,-6.20403,6.31968,20.9712,18.0177,8.41656
12,6664,0.822167, 0.853445, 1.31207, 0.0512758, -7.80742,-4.00477,6.27613,-9.98550,0.325084,-44.9094,-1.17977,2.75291,-9.57526,3.19586,-7.02644,2.69470,-0.832028,3.23357,1.23308,1.68177,2.56712,-6.53679,-3.98117,-18.7575,-12.6291,-21.1250,-2.43676,-8.76881,-8.59225,-1.93634,4.70088,-12.5528,-5.84200,-2.19091,-6.32066,14.9951,19.4201,2.41203,2.22425,-3.19854,-7.11795,-23.6656,-6.74624,1.86007,2.04833,-2.79174,-9.13325,5.36741,-3.30113,3.12428,0.973762,-1.06021,-11.9863,-15.1309,9.98382,17.2442,7.28777,-8.13922,6.67479,-30.9968,-2.54939,24.3464,-6.06412,6.17634,15.9202,14.9674,8.20584
13,2537,0.713340, 0.759812, 1.29924, 0.274942, 3.32115,7.02711,10.5922,-1.43216,6.55813,-28.4804,-2.98758,4.84146,-3.35975,-0.641289,-4.76892,0.470809,-5.08746,-7.98112,10.4787,10.6388,19.1929,9.04054,2.88752,-8.36798,-4.70242,-10.2115,13.7594,-2.56676,-13.7007,-4.61549,15.2691,6.91319,4.03428,-3.06848,6.98192,14.6510,15.5960,10.0317,4.44305,-2.35358,-9.98982,-42.6983,-4.89355,1.91612,1.14502,-3.19031,-6.36431,7.25257,-2.68939,4.27208,2.76162,2.11591,-9.60146,-4.33671,12.2933,14.9597,6.47851,0.844581,3.11519,-30.9499,-12.9816,19.4259,-1.04333,-12.3099,9.58017,3.32779,11.8093
