adminID,pre,post
1,14.3859,12.3462
2,12.7889,16.6897
3,10.8591,5.46436
4,12.1362,5.47666
5,17.0332,12.8453
6,17.0584,17.1888
7,6.14776,3.87826
8,10.5278,16.5109
9,19.3058,20.6461
10,17.7943,19.9826
11,20.9712,18.0177
12,15.9202,14.9674
13,9.58017,3.32779
14,11.2556,5.49222
15,7.75778,-6.42073
16,-0.0273598,-17.4805
17,7.21154,-13.6785
18,11.3891,-10.4324
19,10.9971,3.09116
20,5.14882,-11.4308
21,11.2588,-5.30682
22,4.26026,-7.47744
23,8.77047,0.33238
24,2.49119,-6.89567
25,7.83734,-9.65297
26,4.37461,-20.4167
27,0.782298,-29.7282
28,1.26652,-25.2371
29,2.97104,-26.4621
30,0.661551,-14.1548
31,1.56412,-15.2748
32,0.656154,-20.2206
33,17.9509,-0.363826
34,13.5997,3.35414
35,7.90931,4.82795
36,17.143,11.0128
37,12.2638,16.0131
38,23.3552,19.4141
39,19.6053,9.59867
40,17.3695,5.53408
41,18.1767,9.29558
42,14.9069,7.48534
43,13.3175,20.098
44,10.583,2.32363
45,15.8372,9.34952
46,24.3074,16.2217
47,17.6763,6.65442
48,20.5404,10.6527
49,24.5659,19.1586
50,15.0809,12.3948
51,17.4279,13.5204
52,17.443,10.3206
53,14.927,13.9842
54,10.2704,14.1366
55,10.842,6.40228
56,12.9654,-3.5736
57,8.78326,-0.653633
58,10.7113,22.087
59,16.731,3.65091
60,9.51038,-1.55986
61,8.41452,-6.6213
62,7.81921,-7.21908
63,11.2085,-5.26614
64,13.8094,10.2406
65,2.05102,-7.90599
66,5.50507,1.52671
67,13.0132,13.1208
68,17.2272,21.1494
69,14.9863,16.2481
70,-2.63022,-9.7663
71,0.145931,-6.9571
72,5.02672,-9.67904
73,9.30506,-4.43856
74,4.05402,-9.50797
75,7.74577,-19.3165
76,-0.413137,-25.9754
77,0.170968,-12.683
78,15.8177,29.9199
79,17.6541,25.6777
80,23.5113,15.7995
81,11.725,20.6769
82,11.1377,22.1081
83,16.0783,17.4172
84,14.849,15.8234
85,20.8992,23.4564
86,13.0098,24.8402
87,8.90166,27.7388
88,17.6521,26.1397
89,14.3615,18.1639
90,16.7593,10.2793
91,15.6633,22.6218
92,23.3036,12.0085
93,16.8973,24.1901
94,16.3675,23.0907
95,15.7371,8.32147
96,25.6734,-5.82412
97,8.90779,0.218685
98,22.2796,14.4988
99,12.1899,0.288586
100,14.2268,4.71832
101,20.8097,-3.00453
102,15.4583,12.222
103,22.2368,16.6296
104,12.0483,-8.40464
105,25.7803,21.468
106,27.9686,9.37143
107,8.82686,-14.0328
108,28.0699,6.55652
