;Aggregated and intercalibrated zCumNDVI data for eMODIS: extended by GIMMS for 1981S*-2000S*  of Kenyan divisions and Ethiopian clustered kebeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adminID, pixels, L+S_R2cv, L+S_R2cv_within, L+S_gain, L+S_offset, 1981S*, 1982L*, 1982S*, 1983L*, 1983S*, 1984L*, 1984S*, 1985L*, 1985S*, 1986L*, 1986S*, 1987L*, 1987S*, 1988L*, 1988S*, 1989L*, 1989S*, 1990L*, 1990S*, 1991L*, 1991S*, 1992L*, 1992S*, 1993L*, 1993S*, 1994L*, 1994S*, 1995L*, 1995S*, 1996L*, 1996S*, 1997L*, 1997S*, 1998L*, 1998S*, 1999L*, 1999S*, 2000L*, 2000S*, 2001L, 2001S, 2002L, 2002S, 2003L, 2003S, 2004L, 2004S, 2005L, 2005S, 2006L, 2006S, 2007L, 2007S, 2008L, 2008S, 2009L, 2009S, 2010L, 2010S, 2011L, 2011S, 2012L, 2012S, 2013L, 2013S
1,6392,0.699788,0.752542,1.33056,0.418969,-4.93945,3.13484,8.56339,-10.2696,0.504802,-41.501,-5.34126,4.00835,-6.96286,-7.8105,-12.8478,-2.32056,-2.73628,0.0465572,7.80725,7.72868,9.86726,-0.817571,1.11045,-11.9511,-6.53845,-13.7596,5.4852,-2.80422,-6.36787,-1.48083,16.3318,-16.7389,-0.308803,-8.3958,-3.40075,9.81274,20.2136,4.76961,1.81659,-13.4534,-6.32194,-34.0286,-7.93878,-1.79967,-3.99733,-16.4041,-6.22002,3.41072,-5.10971,5.86017,1.97344,8.8069,-6.74151,-5.27754,15.8374,13.9985,5.56003,2.26738,2.73105,-27.6394,-4.71084,19.2881,-3.11433,-2.51118,14.4041,12.3099,14.0548,17.8718,9.55911
2,6548,0.6174,0.683402,1.59112,0.311736,3.40783,6.62334,17.4736,2.37273,4.03566,-58.5575,-5.4832,11.0517,-8.92912,2.36544,-15.6405,3.60456,-7.61783,-1.20818,7.09769,9.58125,12.6429,6.43225,2.77869,-20.4673,-12.6499,-15.2259,5.43987,-5.54422,-11.2552,-7.47987,9.10029,-6.69328,4.03171,-8.18274,-3.9034,13.6111,24.9704,12.8931,9.28756,-6.52773,-6.61791,-45.4548,-4.28988,-1.19302,-4.48562,-17.0954,-5.04377,1.4726,-6.77816,3.59544,6.8075,10.3379,-12.2615,-4.11417,12.7721,19.2954,4.48108,1.55419,6.16572,-28.75,-3.31713,21.7108,-2.87729,-6.81368,12.8441,16.7873,18.098,21.262,10.9515
3,4611,0.797602,0.832171,1.32909,0.138798,-2.49335,8.7914,6.47926,-3.31051,4.22477,-24.4196,-2.38284,2.37732,-3.9886,5.02461,-5.90828,3.26887,-3.53058,0.844633,5.7956,11.2315,14.5289,8.89568,7.10642,-1.80139,-3.66815,-6.41966,6.75179,-0.696013,-9.10916,-1.86986,11.4827,-0.59169,4.26941,-1.32198,5.04868,10.0995,13.8251,11.5396,4.96336,1.47379,-6.62256,-27.9511,-5.9966,-3.44873,1.41008,-5.56724,-5.79546,2.67523,-3.36818,5.67895,0.825051,4.34898,-13.0611,-4.87053,12.5925,12.5322,2.27885,-1.20352,4.45246,-26.5665,-7.58271,21.0031,-1.69267,-4.58198,10.8399,5.40963,11.4576,13.44,6.77001
4,5019,0.86474,0.88804,1.42992,0.175407,-1.87137,8.46821,5.00971,-3.37089,-1.24622,-41.267,-3.36377,4.54752,-8.45292,5.3481,-10.0585,3.83423,-8.47549,1.97845,4.46428,12.5674,9.45636,9.94385,4.22155,-10.1591,-8.43045,-9.02478,4.42025,-4.26377,-9.73021,3.57749,8.94905,-5.21609,-0.996667,-3.15273,-3.468,14.3298,13.5166,13.0614,4.2151,1.84425,-5.55942,-27.1098,-6.35692,-5.0746,1.41295,-8.67732,-4.1206,3.32054,-3.11544,4.88515,-0.242016,3.05795,-10.9507,-0.862361,12.3327,14.8243,4.69594,-1.85948,2.9953,-23.8734,-5.63007,18.0857,-5.40253,-3.82655,12.0906,5.42512,11.8585,15.8011,6.47298
5,5149,0.812242,0.845314,1.35889,0.222177,-5.89011,2.65193,5.7019,-3.77293,-3.4973,-37.2623,-3.01089,3.32312,-6.26205,-1.62182,-9.44465,1.01674,-6.52065,-0.199955,5.14432,5.71103,6.5932,1.87748,-0.294665,-13.272,-7.88576,-11.551,5.18029,-7.70329,-7.94901,-0.887444,7.59262,-15.7558,-4.89498,-6.31143,-6.62032,12.8005,11.4604,6.90841,2.48807,-7.30902,-6.357,-28.1396,-5.73888,-4.23431,2.03081,-13.7707,-6.90211,3.16708,-4.7976,5.54642,-2.91016,3.97768,-9.688,-3.59227,14.2426,17.7585,6.19911,-1.7121,4.15452,-27.3652,-3.32134,20.078,-7.55729,0.146852,17.1528,13.1133,13.1621,21.0945,8.62083
6,18444,0.717201,0.767128,1.50088,0.322579,-4.918,0.0396436,9.68211,-17.905,2.31318,-52.0101,-6.19639,2.20968,-4.42669,-13.5757,-12.5182,-1.37561,-1.89895,2.68761,5.9119,6.45989,11.5588,-8.04121,-0.469649,-21.3762,-4.76284,-20.4281,3.90724,-6.87007,-5.94444,-11.5456,10.9207,-25.7933,-0.669423,-11.2969,-4.04528,16.672,26.444,4.9054,1.74872,-5.04208,-2.36886,-35.6994,-4.92181,1.77424,0.606479,-16.071,-6.31366,2.93364,-8.98141,-3.37333,-0.867643,4.05324,-8.59961,-8.725,13.6769,18.1206,2.22047,0.548942,3.59001,-20.3256,1.77432,19.9827,-4.95762,1.08165,17.0774,17.2128,8.96448,18.7701,7.6805
7,4244,0.802337,0.837064,1.33456,0.0321611,3.22603,3.84712,9.48437,-2.94647,2.59716,-41.5208,-3.33062,7.24539,-12.9096,6.56673,-3.86761,3.56414,-4.8819,5.72454,-0.292321,7.55509,6.05415,11.3548,2.43065,-4.012,-13.9364,-10.7502,3.03978,-1.01057,-15.489,-0.589719,13.4119,-3.59114,2.24608,4.32254,-4.0947,8.83197,18.4061,8.13612,4.69032,0.666211,-3.09335,-21.4946,-6.56884,9.83817,2.45123,-0.767773,-3.4739,6.32442,4.34568,8.23116,3.43735,-0.214512,-11.0984,-7.8996,9.0058,13.5014,4.79232,-11.8038,1.52959,-32.6868,-8.58294,17.3464,-4.67406,-1.86906,6.15239,3.9128,8.26251,11.3391,8.61345
8,2316,0.756254,0.798787,1.5498,0.326797,1.00825,15.132,14.3944,2.96535,8.91379,-38.388,-1.96782,18.2364,-5.61864,3.60597,-11.8354,5.10559,-4.52601,-2.41582,4.73621,17.1542,19.506,15.2416,7.44782,-7.97984,-4.26892,-8.01232,5.20416,-3.29826,-18.6376,-2.82443,15.5678,5.96746,9.37716,2.4879,5.66611,17.7613,17.902,13.1893,3.91167,5.60666,-5.57824,-51.4427,-1.77782,-0.51637,-1.50026,-13.1097,-7.44883,4.45866,-5.55886,0.801674,2.66306,3.69003,-14.9657,-5.41112,14.2549,19.8577,6.23148,1.15061,5.78719,-29.3223,-3.74887,23.1847,-0.934596,-4.78391,10.4735,16.3999,18.9152,20.101,14.6016
9,29733,0.690352,0.745047,1.27401,0.161837,-3.46386,0.146878,11.2721,-6.77889,1.81032,-31.4656,-2.52998,6.96668,-1.69964,-0.0700596,-7.33616,0.952474,-0.0708138,6.90122,6.15069,9.2241,9.7212,-3.7335,-1.64364,-10.1856,-2.17902,-15.3955,7.04205,-5.70411,-4.34062,-1.11118,5.83154,-15.317,-2.88098,-3.98875,-1.93681,18.795,21.8916,0.311259,1.84338,-5.14653,-3.87116,-23.9577,-3.21369,-4.3029,0.0822228,-13.2777,-7.72809,1.37217,-5.2054,1.01989,-0.178987,3.12415,-7.86494,-10.2611,13.0881,15.5405,1.33161,-2.28478,2.96295,-19.6208,-0.0117826,22.0837,-8.29755,6.60698,19.312,20.6506,9.34088,20.798,8.51079
10,8643,0.736246,0.782721,1.24627,-0.0570164,-6.01397,-2.10289,1.97744,-6.70506,-2.57958,-37.222,-8.34477,4.98597,-11.367,3.95265,-9.86585,3.53057,-6.68145,5.64891,-0.234943,5.7067,2.21138,-0.966472,-6.68275,-8.11198,-11.0321,-13.0662,-2.98204,-9.12336,-12.6719,-2.56091,1.27297,-9.62082,-5.45084,-1.62287,-5.22782,14.028,12.9903,6.69287,0.846154,-2.31432,-7.28193,-21.9586,-6.02108,-8.68008,1.71135,-8.59378,-7.27771,5.92732,-4.85081,0.477775,-2.87435,-3.31922,-9.06066,-10.4755,12.1639,18.8239,1.33985,-1.9846,6.3378,-22.53,-0.865021,24.3446,-6.04826,6.00958,17.8145,20.201,16.1841,24.5251,15.0402
