<<<<<<< HEAD
;Seasonal cumulation of Z-scored aggregated data for eMODIS of Kenyan divisions
adminID, pixels,2001.00L,2001.00S,2002.00L,2002.00S,2003.00L,2003.00S,2004.00L,2004.00S,2005.00L,2005.00S,2006.00L,2006.00S,2007.00L,2007.00S,2008.00L,2008.00S,2009.00L,2009.00S,2010.00L,2010.00S,2011.00L,2011.00S,2012.00L,2012.00S,2013.00L,2013.00S
1,6392,-1.79967,-3.99733,-16.4041,-6.22002,3.41072,-5.10971,5.86017,1.97344,8.80690,-6.74151,-5.27754,15.8374,13.9985,5.56003,2.26738,2.73105,-27.6394,-4.71084,19.2881,-3.11433,-2.51118,14.4041,12.3099,14.0548,17.8718,9.55911
2,6548,-1.19302,-4.48562,-17.0954,-5.04377,1.47260,-6.77816,3.59544,6.80750,10.3379,-12.2615,-4.11417,12.7721,19.2954,4.48108,1.55419,6.16572,-28.7500,-3.31713,21.7108,-2.87729,-6.81368,12.8441,16.7873,18.0980,21.2620,10.9515
3,4611,-3.44873,1.41008,-5.56724,-5.79546,2.67523,-3.36818,5.67895,0.825051,4.34898,-13.0611,-4.87053,12.5925,12.5322,2.27885,-1.20352,4.45246,-26.5665,-7.58271,21.0031,-1.69267,-4.58198,10.8399,5.40963,11.4576,13.4400,6.77001
4,5019,-5.07460,1.41295,-8.67732,-4.12060,3.32054,-3.11544,4.88515,-0.242016,3.05795,-10.9507,-0.862361,12.3327,14.8243,4.69594,-1.85948,2.99530,-23.8734,-5.63007,18.0857,-5.40253,-3.82655,12.0906,5.42512,11.8585,15.8011,6.47298
5,5149,-4.23431,2.03081,-13.7707,-6.90211,3.16708,-4.79760,5.54642,-2.91016,3.97768,-9.68800,-3.59227,14.2426,17.7585,6.19911,-1.71210,4.15452,-27.3652,-3.32134,20.0780,-7.55729,0.146852,17.1528,13.1133,13.1621,21.0945,8.62083
6,18444,1.77424,0.606479,-16.0710,-6.31366,2.93364,-8.98141,-3.37333,-0.867643,4.05324,-8.59961,-8.72500,13.6769,18.1206,2.22047,0.548942,3.59001,-20.3256,1.77432,19.9827,-4.95762,1.08165,17.0774,17.2128,8.96448,18.7701,7.68050
7,4244,9.83817,2.45123,-0.767773,-3.47390,6.32442,4.34568,8.23116,3.43735,-0.214512,-11.0984,-7.89960,9.00580,13.5014,4.79232,-11.8038,1.52959,-32.6868,-8.58294,17.3464,-4.67406,-1.86906,6.15239,3.91280,8.26251,11.3391,8.61345
8,2316,-0.516370,-1.50026,-13.1097,-7.44883,4.45866,-5.55886,0.801674,2.66306,3.69003,-14.9657,-5.41112,14.2549,19.8577,6.23148,1.15061,5.78719,-29.3223,-3.74887,23.1847,-0.934596,-4.78391,10.4735,16.3999,18.9152,20.1010,14.6016
9,29733,-4.30290,0.0822228,-13.2777,-7.72809,1.37217,-5.20540,1.01989,-0.178987,3.12415,-7.86494,-10.2611,13.0881,15.5405,1.33161,-2.28478,2.96295,-19.6208,-0.0117826,22.0837,-8.29755,6.60698,19.3120,20.6506,9.34088,20.7980,8.51079
10,8637,-8.68722,1.70704,-8.59722,-7.27771,5.93368,-4.84666,0.479975,-2.87631,-3.31990,-9.06095,-10.4734,12.1667,18.8241,1.34044,-1.98011,6.33785,-22.5316,-0.861609,24.3448,-6.05201,6.00685,17.8124,20.2108,16.1990,24.5682,15.0763
11,14326,-0.660315,-1.78975,-6.52389,-9.42509,4.34764,-1.36301,1.21618,1.24041,-0.111251,-10.0302,-8.21930,13.8907,17.3021,2.62510,-9.31414,3.51226,-27.4107,-4.22304,23.0418,-6.18758,6.33188,20.9949,18.0459,8.42349,23.1300,10.5819
12,6436,1.73694,2.07981,-2.76587,-9.10870,5.38047,-3.30014,3.20947,1.00774,-1.13769,-12.0629,-15.0553,9.99027,17.2679,7.28630,-8.04957,6.75865,-31.1753,-2.38418,24.4087,-6.40215,6.18026,16.0570,15.6959,9.26577,25.9345,14.8730
13,2512,1.84565,1.06407,-3.28239,-6.38656,7.16058,-2.71830,4.23696,2.83909,2.17232,-9.59639,-4.27151,12.3405,14.9708,6.41971,0.834156,3.17665,-30.7763,-12.9596,19.4021,-1.05160,-12.2924,9.53035,3.39383,11.8819,10.5575,8.24722
14,3193,-1.73767,1.44797,-2.38184,-6.61303,9.59674,-3.80937,2.82030,-2.89482,4.11236,-8.80457,-9.92507,11.3156,15.2222,8.26893,-0.234986,3.95822,-30.3401,-7.59089,22.0964,-2.42521,-9.22834,11.3482,5.64511,11.1523,14.1302,8.96649
15,23951,-3.36837,11.1353,24.7691,6.37696,10.4625,4.43696,-7.39560,0.250171,-8.31757,-14.4999,-13.5700,13.8431,3.63399,-0.384453,10.7773,-3.10557,-5.19203,-2.74782,10.4350,-16.8324,-22.2345,7.73070,-6.41941,-6.56696,3.18156,0.580982
16,11900,0.00119103,-1.60979,13.7707,14.2492,28.7983,8.00714,1.36877,6.61164,-3.32282,-13.8709,-8.49708,20.7697,0.552558,-3.45529,8.57808,-3.48954,-15.1523,-8.16682,0.458829,-13.8245,-26.5562,0.00862285,-17.2991,-5.64398,-0.378540,-9.28001
17,72725,-1.00671,0.796307,12.2888,5.42237,4.00331,1.50904,2.00669,-5.67794,-8.62876,-13.1360,-9.60598,15.2006,7.74221,13.1694,11.2837,-5.19651,-10.1853,0.406693,9.94299,-15.2787,-17.8408,7.23371,-13.6387,-7.06429,0.0938495,-11.0400
18,9913,-1.76195,0.712670,11.2745,8.73175,15.4703,1.17765,-7.23321,-8.07268,-15.6286,-14.9117,-17.9456,14.1191,12.6685,7.79534,10.9901,-3.72333,-12.2165,2.32763,19.9115,-13.5651,-15.5292,11.4033,-10.4600,-9.60239,-0.185400,-7.38103
19,50071,-8.42427,0.653958,21.0627,3.33781,6.00395,3.66445,1.50637,-1.69512,-10.0052,-11.5280,-5.93528,25.0732,15.7989,-2.65355,3.64278,-7.04813,-11.9257,3.94735,7.01860,-13.8706,-18.7428,11.0379,3.17136,-6.19342,13.5648,-8.07977
20,20852,-13.8888,8.50192,22.2950,4.57686,7.52055,5.97566,2.75093,-3.64307,-14.0003,-14.0430,-15.0335,13.0742,12.0476,4.84555,9.61070,-6.46841,-7.06342,3.28372,12.4317,-15.2146,-16.6705,5.24671,-11.4463,-9.58696,-7.28197,-6.09904
21,49085,-8.77648,-0.0471824,11.5571,0.338791,14.2156,3.94493,0.627115,2.22913,-5.43260,-13.9767,-14.3222,22.1264,15.5573,4.50830,2.85639,-8.03246,-13.2005,1.99613,16.1547,-14.7955,-19.2367,11.2761,-5.25391,-6.35230,-1.54158,-11.7919
22,45171,-4.52437,-3.08954,14.3898,7.64138,5.93242,10.6060,-5.94873,4.14869,4.37535,-14.9238,-12.7286,16.3557,13.6338,8.28340,6.97954,-7.45127,-8.27476,1.07166,10.7391,-18.4140,-24.5735,4.25134,-7.48374,-5.92067,-1.56126,-7.36073
23,28869,2.55035,3.32995,27.5817,10.7131,18.6082,4.10671,-6.81996,-3.85171,-11.2040,-14.5653,-10.5818,22.1918,1.68134,-7.79013,4.78033,-4.33049,-16.6316,3.29188,10.5394,-13.9648,-20.5041,8.84290,0.407633,-5.52138,3.07802,-8.47674
24,14215,-3.64867,4.74004,11.9126,7.40526,19.2255,10.5686,4.29978,9.02986,-5.36688,-16.1337,-8.78633,12.6487,6.93696,1.25128,1.06410,-5.39909,-10.9147,-5.04168,13.5568,-17.5801,-28.2792,2.44474,-6.85362,-4.05141,3.57520,-4.97703
25,123621,-1.21365,-2.08680,13.5516,6.87599,7.19713,4.14252,-5.84631,0.165716,-2.96457,-15.0433,-12.4651,16.8863,11.8521,9.95414,7.77589,-5.23690,-10.1073,-0.681463,11.5834,-15.7691,-19.3633,7.83401,-9.63239,-4.19479,-0.140209,-8.00243
26,70470,10.8657,-2.49283,8.99050,9.03656,2.08086,-1.58615,-1.25801,-0.572866,-0.150724,-8.63221,-3.65674,17.5599,9.42599,8.50645,3.61468,-9.22479,-11.2364,0.152689,4.05208,-13.4526,-22.7280,4.33538,-20.4881,-8.66650,-8.58888,-9.10206
27,32007,6.48286,-2.62628,5.13051,7.71093,-3.25769,-3.27877,2.91502,-0.371664,1.58784,-8.66332,-5.87718,15.4041,9.45523,8.22661,8.28060,-6.94772,-9.75113,1.79483,3.55517,-13.6518,-18.5212,0.816983,-29.6507,-11.7982,-7.81215,-11.8630
28,20951,2.77665,-0.869140,6.72223,9.71433,1.84973,-2.65178,7.46885,-1.55025,-3.79669,-13.1252,-5.29510,14.8209,11.9190,9.97439,9.86059,-6.33209,-9.98448,2.79230,-0.231231,-14.4096,-21.2895,1.27234,-25.2410,-9.52299,-6.71475,-9.49439
29,31209,9.67329,-1.54364,9.43959,6.67177,0.973404,-0.743096,0.00233313,-1.45509,-0.0291200,-8.14569,-3.95199,16.6912,7.49755,10.2032,4.49692,-9.46085,-16.0599,-0.924401,5.97991,-12.4737,-18.0220,3.05835,-26.6206,-12.2164,-8.54143,-12.0619
30,23994,-10.1502,-7.07437,11.7048,10.5514,25.1153,5.64414,8.17836,11.0768,0.456290,-13.6928,-2.28708,18.5136,12.3457,1.30473,-3.94383,-0.845668,-22.4797,-6.67022,1.79271,-18.5116,-20.7324,0.640579,-14.2013,-1.21149,-1.84091,-6.74536
31,53395,-4.91466,1.12622,17.2981,8.97778,17.0742,8.08716,5.78482,7.33063,5.90493,-13.9131,-4.35871,16.9501,3.71890,-2.62613,2.62085,-4.78962,-12.7959,-4.00655,-2.15793,-16.3827,-28.1747,1.58336,-15.2846,-5.36889,-4.45883,-6.04471
32,30402,-7.68232,-1.36101,19.7014,6.11168,13.3088,8.29923,3.31932,10.9746,12.7287,-12.0454,-0.117531,15.7924,4.04858,0.600393,3.26015,-2.70547,-16.3308,-7.10486,-2.80479,-17.5988,-29.4315,0.636667,-20.2724,-2.14185,-1.34041,-6.75742
33,175484,-3.95572,-1.96061,23.8000,8.30146,19.2711,0.589360,-5.39192,-0.215747,3.28570,-8.91750,-1.89928,22.5106,4.32632,-0.517959,1.23197,-3.89073,-18.1928,-7.43184,-2.20902,-12.5925,-20.2666,17.9782,-0.345800,-7.52781,8.62784,-1.47297
