COUNTRY,PROVINCE,DISTRICT,DIVI_WOR,IBLI_UNIT,IBLI_ID
KENYA,RIFT VALLEY,BARINGO,BARTABWA,BARTABWA,1
KENYA,RIFT VALLEY,BARINGO,BARWESA,BARWESA,2
KENYA,RIFT VALLEY,BARINGO,KABARNET,KABARNET,3
KENYA,RIFT VALLEY,BARINGO,KABARTONJO,KABARTONJO,4
KENYA,RIFT VALLEY,BARINGO,KIPSARAMAN,KIPSARAMAN,5
KENYA,RIFT VALLEY,BARINGO,KOLLOWA,KOLLOWA,6
KENYA,RIFT VALLEY,BARINGO,MOCHONGOI,MOCHONGOI,7
KENYA,RIFT VALLEY,BARINGO,SALAWA,SALAWA,8
KENYA,RIFT VALLEY,BARINGO,NGINYANG,NGINYANG,9
KENYA,RIFT VALLEY,BARINGO,MARIGAT,MARIGAT,10
KENYA,RIFT VALLEY,BARINGO,TANGULBEI,TANGULBEI,11
KENYA,RIFT VALLEY,BARINGO,MUKUTANI,MUKUTANI,12
KENYA,RIFT VALLEY,BARINGO,SACHO,SACHO,13
KENYA,RIFT VALLEY,BARINGO,TENGES,TENGES,14
KENYA,NORTH EASTERN,GARISSA,BALAMBALA,BALAMBALA,15
KENYA,NORTH EASTERN,GARISSA,BENANE,BENANE,16
KENYA,NORTH EASTERN,GARISSA,BURA,BURA GARISSA,17
KENYA,NORTH EASTERN,GARISSA,CENTRAL,CENTRAL GARISSA,18
KENYA,NORTH EASTERN,GARISSA,SHANT-ABAK,SHANT-ABAK,19
KENYA,NORTH EASTERN,GARISSA,SANKURI,SANKURI,20
KENYA,NORTH EASTERN,GARISSA,DADAAB,DADAAB,21
KENYA,NORTH EASTERN,GARISSA,LIBOI,LIBOI,22
KENYA,NORTH EASTERN,GARISSA,MODOGASHE,MODOGASHE,23
KENYA,NORTH EASTERN,GARISSA,DANYERE,DANYERE,24
KENYA,NORTH EASTERN,GARISSA,JARAJILA,JARAJILA,25
KENYA,NORTH EASTERN,GARISSA,HULUGHO,HULUGHO,26
KENYA,NORTH EASTERN,GARISSA,IJARA,IJARA,27
KENYA,NORTH EASTERN,GARISSA,MASALANI,MASALANI,28
KENYA,NORTH EASTERN,GARISSA,SANGAILU,SANGAILU,29
KENYA,EASTERN,ISIOLO,CENTRAL,CENTRAL ISIOLO,30
KENYA,EASTERN,ISIOLO,GARBA TULLA,GARBA TULLA,31
KENYA,EASTERN,ISIOLO,KINNA,KINNA,32
KENYA,EASTERN,ISIOLO,MERTI,MERTI,33
KENYA,EASTERN,ISIOLO,SERICHO,SERICHO,34
KENYA,EASTERN,ISIOLO,OLDONYIRO,OLDONYIRO,35
KENYA,NORTH EASTERN,MANDERA,ASHABITO,ASHABITO,36
KENYA,NORTH EASTERN,MANDERA,BANISA,BANISA,37
KENYA,NORTH EASTERN,MANDERA,CENTRAL,CENTRAL MANDERA,38
KENYA,NORTH EASTERN,MANDERA,ELWAK,ELWAK,39
KENYA,NORTH EASTERN,MANDERA,FINO,FINO,40
KENYA,NORTH EASTERN,MANDERA,RHAMU,RHAMU,41
KENYA,NORTH EASTERN,MANDERA,LIBEHIA,LIBEHIA,42
KENYA,NORTH EASTERN,MANDERA,MALKAMARI,MALKAMARI,43
KENYA,NORTH EASTERN,MANDERA,DANDU,DANDU,44
KENYA,NORTH EASTERN,MANDERA,HARERI,HARERI,45
KENYA,NORTH EASTERN,MANDERA,WARGADUD,WARGADUD,46
KENYA,NORTH EASTERN,MANDERA,WARANKARA,WARANKARA,47
KENYA,NORTH EASTERN,MANDERA,KOTULO,KOTULO (MANDERA),48
KENYA,NORTH EASTERN,MANDERA,SHIMBIR FATUMA,SHIMBIR FATUMA,49
KENYA,NORTH EASTERN,MANDERA,RHAMU DIMTU,RHAMU DIMTU,50
KENYA,NORTH EASTERN,MANDERA,LAFEY,LAFEY,51
KENYA,NORTH EASTERN,MANDERA,KHALALIO,KHALALIO,52
KENYA,NORTH EASTERN,MANDERA,TAKABA,TAKABA,53
KENYA,EASTERN,MOYALE,CENTRAL,CENTRAL MOYALE,60
KENYA,EASTERN,MOYALE,GOLBO,GOLBO,61
KENYA,EASTERN,MOYALE,URAN,URAN,62
KENYA,EASTERN,MOYALE,OBBU,OBBU,63
KENYA,RIFT VALLEY,SAMBURU,BARAGOI,BARAGOI,64
KENYA,RIFT VALLEY,SAMBURU,WASO,WASO,65
KENYA,RIFT VALLEY,SAMBURU,WAMBA,WAMBA,66
KENYA,RIFT VALLEY,SAMBURU,NYIRO,NYIRO,67
KENYA,RIFT VALLEY,SAMBURU,LORROKI,LORROKI,68
KENYA,RIFT VALLEY,SAMBURU,KIRISIA,KIRISIA,69
KENYA,COAST,TANA RIVER,TSAVO E  N .PARK,TSAVO E  N .PARK,70
KENYA,COAST,TANA RIVER,BANGALE,BANGALE,71
KENYA,COAST,TANA RIVER,BURA,BURA,72
KENYA,COAST,TANA RIVER,MADOGO,MADOGO,73
KENYA,COAST,TANA RIVER,GALORE,GALORE,74
KENYA,COAST,TANA RIVER,WENJE,WENJE,75
KENYA,COAST,TANA RIVER,KIPINI,KIPINI,76
KENYA,COAST,TANA RIVER,GARSEN,GARSEN,77
KENYA,RIFT VALLEY,TURKANA,KAKUMA,KAKUMA,78
KENYA,RIFT VALLEY,TURKANA,KALOKOL,KALOKOL,79
KENYA,RIFT VALLEY,TURKANA,KERIO,KERIO,80
KENYA,RIFT VALLEY,TURKANA,KAALING,KAALING,81
KENYA,RIFT VALLEY,TURKANA,OROPOI,OROPOI,82
KENYA,RIFT VALLEY,TURKANA,LOMELO,LOMELO,83
KENYA,RIFT VALLEY,TURKANA,TURKWEL,TURKWEL,84
KENYA,RIFT VALLEY,TURKANA,LOKORI,LOKORI,85
KENYA,RIFT VALLEY,TURKANA,LOKITAUNG,LOKITAUNG,86
KENYA,RIFT VALLEY,TURKANA,LOKICHOGGIO,LOKICHOGGIO,87
KENYA,RIFT VALLEY,TURKANA,LOIMA,LOIMA,88
KENYA,RIFT VALLEY,TURKANA,LAPUR,LAPUR,89
KENYA,RIFT VALLEY,TURKANA,LOKICHAR,LOKICHAR,90
KENYA,RIFT VALLEY,TURKANA,KIBISH,KIBISH,91
KENYA,RIFT VALLEY,TURKANA,CENTRAL,CENTRAL TURKANA,92
KENYA,RIFT VALLEY,TURKANA,KAINUK,KAINUK,93
KENYA,RIFT VALLEY,TURKANA,KATILU,KATILU,94
KENYA,NORTH EASTERN,WAJIR,BUNA,BUNA,95
KENYA,NORTH EASTERN,WAJIR,CENTRAL,CENTRAL WAJIR,96
KENYA,NORTH EASTERN,WAJIR,BUTE,BUTE,97
KENYA,NORTH EASTERN,WAJIR,WAJIR-BOR,WAJIR-BOR,98
KENYA,NORTH EASTERN,WAJIR,DIFF,DIFF,99
KENYA,NORTH EASTERN,WAJIR,ELDAS,ELDAS,100
KENYA,NORTH EASTERN,WAJIR,GRIFTU,GRIFTU,101
KENYA,NORTH EASTERN,WAJIR,GURAR,GURAR,102
KENYA,NORTH EASTERN,WAJIR,TARBAJ,TARBAJ,103
KENYA,NORTH EASTERN,WAJIR,HABASWEIN,HABASWEIN,104
KENYA,NORTH EASTERN,WAJIR,KOTULO,KOTULO (WAJIR),105
KENYA,NORTH EASTERN,WAJIR,SEBULE,SEBULE,107
KENYA,NORTH EASTERN,WAJIR,HADADO,HADADO,108
KENYA,EASTERN,MARSABIT,CENTRAL,CENTRAL MARSABIT,111
KENYA,EASTERN,MARSABIT,GADAMOJI,GADAMOJI,112
KENYA,EASTERN,MARSABIT,LAISAMIS,LAISAMIS,113
KENYA,EASTERN,MARSABIT,LOIYANGALANI,LOIYANGALANI,114
KENYA,EASTERN,MARSABIT,LOIYANGALANI,MT KULAL,115
KENYA,EASTERN,MARSABIT,LOIYANGALANI,KARGI,116
KENYA,EASTERN,MARSABIT,MAIKONA,MAIKONA,117
KENYA,EASTERN,MARSABIT,MAIKONA,TURBI,118
KENYA,EASTERN,MARSABIT,NORTH HORR,DUKANA,119
KENYA,EASTERN,MARSABIT,NORTH HORR,NORTH HORR,120
ETHIOPIA,OROMIA,BORANA,DILLO,Malbe Dillo,201
ETHIOPIA,OROMIA,BORANA,DILLO,Golbo,202
ETHIOPIA,OROMIA,BORANA,YABELLO,Malbe Yabello,203
ETHIOPIA,OROMIA,BORANA,YABELLO,Gomole,204
ETHIOPIA,OROMIA,BORANA,YABELLO,Bada Yabello,205
ETHIOPIA,OROMIA,BORANA,MIYO,Miyo,206
ETHIOPIA,OROMIA,BORANA,MIYO,Bada Hiddi,207
ETHIOPIA,OROMIA,BORANA,DHAAS,Mata Wayama Dhas,208
ETHIOPIA,OROMIA,BORANA,DHAAS,Garacha Tula Dhas,209
ETHIOPIA,OROMIA,BORANA,TELTELE,Malbe Teltele,210
ETHIOPIA,OROMIA,BORANA,TELTELE,Guba Tertale,211
ETHIOPIA,OROMIA,BORANA,TELTELE,Ganda Qonan Bula Teltele,212
ETHIOPIA,OROMIA,BORANA,DIRE,Garacha Dire,213
ETHIOPIA,OROMIA,BORANA,DIRE,Gara Mega,214
ETHIOPIA,OROMIA,BORANA,DIRE,Golbo Dire,215
ETHIOPIA,OROMIA,BORANA,MOYALE,Qaqalo Moyale,216
ETHIOPIA,OROMIA,BORANA,MOYALE,Moyele,217
