adminID, pixels,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L,2011S,2012L,2012S,2013L,2013S
1,6378,-1.83759,-3.95340,-16.3589,-6.22477,3.46184,-5.09614,5.86298,1.97958,8.85536,-6.76376,-5.18687,15.7903,14.0273,5.59674,2.25709,2.76659,-27.7868,-4.75474,19.3073,-3.08809,-2.60160,14.3859,12.3462,14.1643,17.8788,9.26235
2,6555,-1.04892,-4.40415,-17.0201,-5.02688,1.52794,-6.70611,3.63710,6.80480,10.2827,-12.3322,-4.19830,12.7102,19.2994,4.44333,1.49809,6.15032,-28.7912,-3.30946,21.6887,-2.88670,-6.87547,12.7889,16.6897,18.0562,21.1404,10.1634
3,4589,-3.45316,1.39764,-5.57456,-5.90663,2.66568,-3.37032,5.68782,0.842835,4.35147,-13.0950,-4.87517,12.5696,12.5008,2.29487,-1.26849,4.47565,-26.5947,-7.55412,21.0590,-1.63449,-4.49876,10.8591,5.46436,11.5179,13.4323,6.80626
4,5040,-5.08622,1.40057,-8.63274,-4.01767,3.34501,-3.14866,4.84533,-0.274584,2.97582,-10.9344,-1.03712,12.3195,14.8489,4.58024,-1.86526,3.01830,-23.8653,-5.66757,18.2032,-5.35336,-3.73159,12.1362,5.47666,11.8217,15.7615,6.46589
5,5141,-4.28744,1.98925,-13.7187,-6.91401,3.12746,-4.77866,5.53378,-2.81725,4.03414,-9.72863,-3.35929,14.2659,17.6844,6.23462,-1.66459,4.11525,-27.2265,-3.31409,19.9235,-7.55029,-0.0468088,17.0332,12.8453,13.1087,20.8578,7.84076
6,18385,1.74962,0.584338,-16.1173,-6.30795,2.93324,-8.96061,-3.32593,-0.847542,4.09043,-8.60464,-8.71435,13.6667,18.1282,2.22767,0.543863,3.60152,-20.3486,1.74754,19.9742,-4.92987,1.08667,17.0584,17.1888,8.98474,18.7634,6.39022
7,4223,9.86619,2.52953,-0.687521,-3.37572,6.45922,4.28899,8.28901,3.41335,-0.256714,-11.0726,-7.83959,9.04366,13.3927,4.77926,-11.8155,1.50540,-32.6864,-8.68428,17.2715,-4.73428,-1.99299,6.14776,3.87826,8.30145,11.2273,7.86379
8,2316,-0.680649,-1.52262,-13.1322,-7.50114,4.45821,-5.55540,0.712773,2.66716,3.60077,-14.9080,-5.37487,14.2460,19.8956,6.24671,1.26263,5.87711,-29.1678,-3.78996,23.2393,-0.931820,-4.81386,10.5278,16.5109,18.9916,20.2404,14.3298
9,29716,-4.30458,0.0795035,-13.3033,-7.71243,1.38464,-5.18724,1.06361,-0.178626,3.10734,-7.89299,-10.2466,13.0889,15.5632,1.37334,-2.24504,2.94980,-19.6566,-0.0347941,22.0790,-8.30033,6.55821,19.3058,20.6461,9.34402,20.8220,7.37545
10,8766,-8.54955,1.76777,-8.49237,-7.24736,5.86690,-4.86288,0.416913,-2.87154,-3.29690,-8.98918,-10.4298,12.1333,18.8060,1.31122,-2.00214,6.28724,-22.6161,-0.935391,24.3180,-5.98741,5.97908,17.7943,19.9826,15.8230,23.4620,14.1436
11,14296,-0.681389,-1.75139,-6.51229,-9.43237,4.35911,-1.36246,1.20015,1.23746,-0.130428,-10.0459,-8.24254,13.8681,17.3171,2.65539,-9.31187,3.51561,-27.4005,-4.22042,23.0830,-6.20403,6.31968,20.9712,18.0177,8.41656,23.0923,9.50005
12,6664,1.86007,2.04833,-2.79174,-9.13325,5.36741,-3.30113,3.12428,0.973762,-1.06021,-11.9863,-15.1309,9.98382,17.2442,7.28777,-8.13922,6.67479,-30.9968,-2.54939,24.3464,-6.06412,6.17634,15.9202,14.9674,8.20584,23.0200,11.4860
13,2537,1.91612,1.14502,-3.19031,-6.36431,7.25257,-2.68939,4.27208,2.76162,2.11591,-9.60146,-4.33671,12.2933,14.9597,6.47851,0.844581,3.11519,-30.9499,-12.9816,19.4259,-1.04333,-12.3099,9.58017,3.32779,11.8093,10.4031,8.26307
14,3195,-1.69466,1.55023,-2.36079,-6.56949,9.57870,-3.88649,2.71467,-3.00875,4.22458,-8.74870,-9.87196,11.2164,15.1759,8.29226,-0.326304,4.01495,-30.1638,-7.52355,22.0159,-2.44483,-9.29216,11.2556,5.49222,11.1086,14.0983,9.21527
15,23947,-3.47808,11.1094,24.7435,6.34511,10.3945,4.51424,-7.34522,0.291532,-8.25837,-14.4741,-13.5732,13.7698,3.65134,-0.356054,10.8038,-3.10191,-5.11563,-2.78656,10.4240,-16.8253,-22.2467,7.75778,-6.42073,-6.57257,3.16744,-1.51464
16,11912,-0.0231635,-1.58796,13.7085,14.1771,28.8006,8.01724,1.43146,6.70657,-3.36632,-13.9081,-8.56671,20.7274,0.617482,-3.36926,8.58589,-3.48658,-15.0851,-8.18769,0.484063,-13.8431,-26.5867,-0.0273598,-17.4805,-5.58172,-0.343437,-10.3595
17,73149,-1.01415,0.831903,12.2665,5.44521,3.98416,1.52785,2.07422,-5.66762,-8.67202,-13.1309,-9.59202,15.1817,7.75406,13.1507,11.2861,-5.23280,-10.1618,0.395348,9.95449,-15.2817,-17.8794,7.21154,-13.6785,-7.07074,0.100449,-12.3003
18,9798,-1.77674,0.684895,11.1685,8.73264,15.4655,1.15472,-7.29094,-8.07752,-15.6629,-14.8835,-17.8889,14.0686,12.6954,7.81732,10.9768,-3.73759,-12.1843,2.35193,19.9417,-13.5053,-15.4441,11.3891,-10.4324,-9.52045,-0.0630686,-8.92974
19,50033,-8.39601,0.710644,21.1280,3.35874,5.99093,3.71209,1.50808,-1.70502,-10.0053,-11.5410,-5.93655,25.0445,15.6710,-2.68072,3.61838,-7.06709,-11.9159,3.93632,7.07720,-13.8884,-18.7399,10.9971,3.09116,-6.20586,13.4476,-9.29676
20,20888,-14.0158,8.52861,22.2780,4.65981,7.69185,5.97939,2.65412,-3.63673,-13.9745,-14.0530,-15.1219,13.0355,12.0880,4.86241,9.71080,-6.46942,-7.09199,3.25378,12.4231,-15.2157,-16.6416,5.14882,-11.4308,-9.60366,-7.33129,-7.65422
21,49222,-8.78238,-0.0265425,11.6209,0.352564,14.1903,3.94916,0.651339,2.20040,-5.46889,-13.9975,-14.3436,22.1054,15.5450,4.52673,2.85586,-8.02481,-13.1838,2.01991,16.1573,-14.8037,-19.2421,11.2588,-5.30682,-6.37128,-1.59202,-12.9313
22,45386,-4.53878,-3.06682,14.3851,7.63009,5.93685,10.5778,-5.96132,4.15853,4.39796,-14.9154,-12.7206,16.3559,13.6385,8.28283,6.96432,-7.44643,-8.26545,1.06306,10.7391,-18.4153,-24.5758,4.26026,-7.47744,-5.89150,-1.58402,-8.79342
23,28873,2.58023,3.36117,27.5659,10.7359,18.6513,4.09453,-6.81457,-3.81609,-11.2138,-14.5750,-10.5536,22.1703,1.66179,-7.79277,4.74900,-4.33628,-16.6155,3.28515,10.5186,-13.9774,-20.5293,8.77047,0.332380,-5.50284,3.09664,-9.85743
24,13879,-3.63930,4.79409,11.7844,7.59329,19.6402,10.4678,3.96075,9.01507,-5.67915,-16.2630,-8.66984,12.6883,7.02210,1.29179,1.26636,-5.39636,-11.0236,-5.20072,13.6423,-17.5335,-28.3043,2.49119,-6.89567,-4.03528,3.77542,-6.43847
25,123646,-1.18398,-2.10305,13.5511,6.89019,7.19808,4.14114,-5.83059,0.155423,-2.99062,-15.0353,-12.4672,16.8807,11.8337,9.95810,7.79697,-5.23438,-10.1131,-0.690335,11.5597,-15.7705,-19.3540,7.83734,-9.65297,-4.22619,-0.136940,-9.43584
26,71134,10.8745,-2.49488,8.95052,9.05247,2.05652,-1.65317,-1.32361,-0.531065,-0.121744,-8.61765,-3.57643,17.5238,9.43415,8.49132,3.61307,-9.26209,-11.2668,0.200514,4.12621,-13.4089,-22.7665,4.37461,-20.4167,-8.63597,-8.53868,-9.59730
27,32217,6.48128,-2.60224,5.11039,7.71383,-3.22959,-3.33620,2.93100,-0.353479,1.59080,-8.67590,-5.88293,15.3868,9.44258,8.24042,8.30881,-6.90472,-9.70816,1.81647,3.51817,-13.6443,-18.5624,0.782298,-29.7282,-11.8244,-7.83584,-12.5513
28,20785,2.71967,-0.881805,6.62322,9.70064,1.89480,-2.66735,7.42576,-1.48976,-3.75022,-13.1294,-5.23001,14.7900,11.9757,10.0047,9.83260,-6.32265,-9.97714,2.79007,-0.213414,-14.3986,-21.3010,1.26652,-25.2371,-9.51111,-6.73899,-9.73652
29,31509,9.60177,-1.40855,9.34369,6.66498,0.948106,-0.820612,0.0253698,-1.39822,-0.0137932,-8.08791,-3.95876,16.5833,7.46858,10.1435,4.55812,-9.52881,-16.0733,-0.876621,6.05255,-12.4518,-17.9523,2.97104,-26.4621,-12.2304,-8.51403,-12.8684
30,24091,-10.1762,-7.10423,11.6586,10.5397,25.1148,5.64404,8.13124,11.0363,0.394630,-13.7125,-2.25338,18.5243,12.3840,1.34049,-3.94418,-0.845136,-22.4545,-6.65130,1.82818,-18.5045,-20.6832,0.661551,-14.1548,-1.17121,-1.68299,-8.87230
