;Seasonal cumulation of Z-scored aggregated data for eMODIS of Kenyan divisions
adminID, pixels,2001.00L,2001.00S,2002.00L,2002.00S,2003.00L,2003.00S,2004.00L,2004.00S,2005.00L,2005.00S,2006.00L,2006.00S,2007.00L,2007.00S,2008.00L,2008.00S,2009.00L,2009.00S,2010.00L,2010.00S,2011.00L,2011.00S,2012.00L,2012.00S,2013.00L,2013.00S,2014.00L
1,6392,-1.62165,-0.489427,-11.7283,-1.41198,2.45289,-0.0191895,6.04693,-0.275754,6.47727,0.668481,-6.14904,-0.208143,10.1301,1.28034,0.595462,0.497942,-19.5664,-1.51624,18.2062,0.497397,-4.84341,0.976563,8.82432,0.917849,15.7611,0.833234,-7.85822
2,6548,-0.822258,-0.507792,-12.0175,-1.23091,0.679269,-0.108985,3.25339,-0.113491,9.73846,0.212082,-3.10881,-0.791425,14.1987,1.47112,-0.405813,0.796170,-21.6970,-1.32524,19.9426,0.696262,-9.76100,0.902218,11.9936,1.24127,18.3594,0.937107,-6.18141
3,4611,-4.75881,0.186281,-1.83209,-1.30640,1.15759,0.258158,5.93221,-0.287640,3.18102,0.433954,-6.14048,-0.349287,9.56729,0.903642,-2.94269,0.765536,-18.3987,-1.86149,20.2157,0.473422,-5.98101,0.783825,2.13291,0.805537,12.1659,0.759930,-9.52420
4,5019,-6.13590,-0.0247997,-4.54213,-1.10335,1.47325,0.438805,5.31337,-0.254229,2.00592,0.403183,-1.73819,-0.389922,11.9849,1.06072,-3.42710,0.420304,-15.6711,-1.89109,16.9698,0.305605,-6.23282,1.03478,2.95952,0.767028,14.4884,0.597142,-7.77807
5,5149,-4.34864,-0.307154,-8.45472,-1.22707,0.829293,0.360013,6.28119,-0.468020,2.21552,0.560563,-3.98287,-0.438190,14.4355,1.24646,-3.00586,0.400249,-19.3589,-1.62974,18.7460,0.150049,-3.35652,1.35284,9.77106,0.849650,19.1080,0.513876,-4.91640
6,18444,1.27277,-0.462095,-10.5709,-1.23956,1.85458,-0.260076,-1.25031,-0.618715,2.83786,0.650505,-8.19963,-0.575856,13.5097,1.40106,0.0720182,0.320225,-13.8507,-1.14617,18.0218,0.515751,-3.69707,1.41494,14.0293,0.659620,15.6774,0.679171,-11.7713
7,4244,7.74954,0.267490,2.34476,-0.943162,3.33362,0.681880,9.16175,-0.413027,-2.00136,0.475825,-7.99821,-0.329540,10.4702,0.888558,-13.0528,0.409561,-23.7101,-2.17600,16.7388,0.423137,-3.03617,0.715276,1.82288,0.617586,10.3296,0.398845,-8.38424
8,2316,-1.12915,-0.223280,-8.02132,-1.47961,2.61113,0.0809131,2.79021,-0.554744,2.63131,0.129836,-5.33926,-0.283946,14.9826,1.41118,-0.831769,0.956781,-22.1727,-1.36116,21.7672,0.536026,-7.28820,0.788008,11.7208,1.20019,16.7080,1.13249,-7.86927
9,29733,-2.98029,-0.602524,-7.82066,-1.24161,-1.22235,0.140207,2.78894,-0.401941,1.88659,0.725169,-10.3512,-0.462152,12.1568,1.01445,-3.03335,0.269923,-13.2439,-1.29435,20.2590,0.132198,1.56040,1.72064,16.5216,0.825980,17.1349,0.759824,-10.3606
10,8631,-9.47762,-0.175681,-3.13579,-1.26317,3.28508,0.514453,3.04195,-0.772088,-3.52607,0.399835,-10.0448,-0.549649,15.6982,0.945146,-3.32262,0.526193,-15.8875,-1.39057,21.8059,0.399442,1.56332,1.36609,16.0565,1.09978,21.5283,0.762141,-3.47531
