;percentile of cummulated Z-scored aggregated data for eMODIS of Kenyan divisions
IBLI_UNIT_ID ,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L,2011S,2012L,2012S,2013L,2013S,2014L
1,3,3,1,2,4,2,4,4,5,1,2,5,5,4,4,4,1,2,5,3,3,5,5,5,5,5,1
2,3,2,1,2,4,2,4,4,5,1,3,5,5,4,4,4,1,3,5,3,2,5,5,5,5,5,2
3,3,4,2,2,4,3,5,4,4,1,2,5,5,4,3,4,1,1,5,3,2,5,5,5,5,5,1
4,2,4,1,2,4,3,5,4,4,1,3,5,5,4,3,4,1,2,5,2,3,5,5,5,5,5,1
5,2,4,1,2,4,2,4,3,4,1,3,5,5,5,3,4,1,3,5,2,4,5,5,5,5,5,2
6,4,3,1,2,4,1,3,3,5,2,2,5,5,4,3,4,1,4,5,2,4,5,5,5,5,5,1
7,5,4,3,2,5,4,5,4,3,1,2,5,5,4,1,3,1,2,5,2,3,4,4,5,5,5,2
8,3,3,1,2,4,2,4,4,4,1,2,5,5,5,4,4,1,3,5,3,2,5,5,5,5,5,1
9,3,4,1,2,4,2,4,3,4,2,1,5,5,4,3,4,1,3,5,2,5,5,5,5,5,5,1
10,2,4,2,2,4,3,4,3,3,1,1,5,5,4,3,5,1,4,5,2,4,5,5,5,5,5,3
11,3,3,2,1,4,3,4,4,4,1,2,5,5,4,2,4,1,3,5,2,5,5,5,5,5,5,2
12,4,4,3,2,4,2,4,3,3,1,1,5,5,5,2,4,1,3,5,2,4,5,5,5,5,5,2
13,4,3,2,2,5,3,4,4,4,2,2,5,5,5,3,4,1,1,5,3,1,5,4,5,5,5,2
14,3,4,3,2,5,2,4,3,4,2,1,5,5,5,4,4,1,2,5,3,1,5,4,5,5,5,2
15,3,5,5,5,5,5,2,4,2,1,2,5,4,4,5,3,3,4,5,1,1,5,3,2,4,4,4
16,4,4,5,5,5,5,5,5,4,2,2,5,5,3,5,3,1,3,4,2,1,4,1,3,4,2,3
17,4,4,5,5,5,4,4,3,3,2,2,5,5,5,5,3,2,4,5,1,1,5,1,3,4,2,3
18,4,4,5,5,5,4,3,3,1,2,1,5,5,5,5,4,2,4,5,2,1,5,2,3,4,3,3
19,2,4,5,4,5,5,4,4,2,2,3,5,5,3,4,3,1,5,5,1,1,5,4,3,5,2,3
20,2,5,5,4,5,5,4,4,2,2,1,5,5,4,5,3,3,4,5,1,1,5,2,3,3,4,3
21,2,4,5,4,5,5,4,4,3,2,1,5,5,5,5,3,2,4,5,1,1,5,3,3,4,2,2
22,3,4,5,5,5,5,3,4,4,1,2,5,5,5,5,2,2,4,5,1,1,4,2,3,4,3,2
23,4,5,5,5,5,5,3,4,2,1,2,5,4,3,5,3,1,4,5,2,1,5,4,3,4,2,4
24,4,5,5,5,5,5,4,5,3,1,2,5,5,4,4,2,2,3,5,1,1,4,2,3,4,3,3
25,4,4,5,5,5,4,3,4,3,1,2,5,5,5,5,3,2,4,5,1,1,5,2,3,4,2,2
26,5,3,5,5,4,4,4,4,4,3,3,5,5,5,5,2,2,4,5,1,1,5,1,2,3,2,3
27,5,4,5,5,4,3,5,4,4,2,3,5,5,5,5,3,2,4,5,1,1,4,1,2,3,2,3
