;Seasonal cumulation of Z-scored aggregated data for eMODIS of Kenyan divisions
adminID, pixels,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L,2011S,2012L,2012S,2013L,2013S,2014L
1,6392,-2.41324,-0.489427,-10.8090,-1.41198,2.43836,-0.0191895,5.47874,-0.275754,4.89901,0.668481,-6.14110,-0.208143,9.05582,1.28034,-0.175533,0.497942,-15.3667,-1.51624,18.0665,0.497397,-5.03284,0.976563,7.12127,0.917849,14.9045,0.833234,-7.44148
2,6548,-1.43001,-0.507792,-10.2214,-1.23091,0.335558,-0.108985,2.94600,-0.113491,9.06826,0.212082,-3.24658,-0.791425,12.4492,1.47112,-1.32835,0.796170,-17.7207,-1.32524,19.3337,0.696262,-10.1856,0.902218,9.86132,1.24127,17.2648,0.937107,-5.52872
3,4611,-4.55770,0.186281,-0.669872,-1.30640,1.16685,0.258158,5.73036,-0.287640,2.42575,0.433954,-7.07255,-0.349287,7.96433,0.903642,-3.36486,0.765536,-14.9825,-1.86149,19.4215,0.473422,-6.06128,0.783825,1.12296,0.805537,11.7682,0.759930,-9.18039
4,5019,-6.20722,-0.0247997,-2.94980,-1.10335,1.25404,0.438805,4.98875,-0.254229,0.973700,0.403183,-2.75348,-0.389922,10.4704,1.06072,-4.22286,0.420304,-11.9998,-1.89109,16.5755,0.305605,-6.12922,1.03478,2.08614,0.767028,13.5438,0.597142,-7.66124
5,5149,-4.69693,-0.307154,-6.15651,-1.22707,0.716880,0.360013,5.62937,-0.468020,1.01966,0.560563,-4.88319,-0.438190,12.8801,1.24646,-3.64808,0.400249,-15.1702,-1.62974,18.1167,0.150049,-3.80774,1.35284,8.14554,0.849650,17.6104,0.513876,-5.48519
6,18444,-0.417763,-0.462095,-8.08418,-1.23956,1.65998,-0.260076,-0.795784,-0.618715,2.17231,0.650505,-7.65837,-0.575856,11.3741,1.40106,-1.14923,0.320225,-10.4713,-1.14617,18.0175,0.515751,-4.64733,1.41494,11.9023,0.659620,14.1488,0.679171,-10.8517
7,4244,6.58299,0.267490,3.14143,-0.943162,1.91416,0.681880,9.02124,-0.413027,-3.36374,0.475825,-7.76127,-0.329540,8.97859,0.888558,-12.2687,0.409561,-19.5256,-2.17600,16.3074,0.423137,-3.02645,0.715276,1.06912,0.617586,9.17574,0.398845,-7.46652
8,2316,-1.84214,-0.223280,-6.03633,-1.47961,1.41085,0.0809131,3.28513,-0.554744,2.26111,0.129836,-5.17367,-0.283946,12.9239,1.41118,-1.65633,0.956781,-18.3994,-1.36116,21.2710,0.536026,-8.04408,0.788008,9.71470,1.20019,15.5563,1.13249,-7.89644
9,29733,-3.42384,-0.602524,-5.26992,-1.24161,-1.33945,0.140207,3.10495,-0.401941,1.45223,0.725169,-9.76632,-0.462152,9.85721,1.01445,-4.35223,0.269923,-10.1119,-1.29435,19.0790,0.132198,0.770248,1.72064,13.2659,0.825980,14.3817,0.759824,-10.3509
10,8633,-9.44716,-0.175605,-0.623018,-1.26337,2.75736,0.514397,3.77740,-0.772249,-3.68657,0.399867,-10.5416,-0.549505,13.3414,0.945340,-4.30088,0.526419,-12.3104,-1.39054,20.9134,0.399536,0.120041,1.36571,13.5712,1.10007,19.2795,0.761423,-3.47859
11,14325,-2.04353,-0.211077,0.963991,-1.32122,0.198750,0.573443,4.57481,-0.560040,-1.05952,0.397606,-7.04402,-0.595185,10.0245,1.07259,-9.22972,0.0925118,-17.3992,-1.43418,19.1442,0.415040,1.86981,1.57052,11.0092,0.908872,16.5659,0.650752,-6.51229
12,6430,-0.0174059,-0.198350,2.87271,-1.04617,1.20114,0.683747,5.27750,-0.578643,-2.88351,0.391995,-11.5587,-0.779501,10.4601,1.21833,-8.13531,0.169952,-19.3967,-1.68159,20.0573,0.531235,2.12290,1.28899,9.93961,0.746136,19.7341,0.851440,-4.22207
13,2512,0.0895017,0.185907,1.24563,-1.38637,4.55342,0.383125,4.56299,0.00245803,-0.214267,0.479604,-6.67391,-0.0809233,10.4523,0.936333,-0.905139,0.531446,-18.2399,-2.01443,18.7456,0.395292,-13.6163,0.567563,0.683600,0.765686,9.16411,0.715671,-9.17031
14,3193,-3.26734,0.00496728,3.09194,-1.35788,6.92141,0.372190,5.61511,-0.214480,1.22699,0.527896,-10.9106,-0.337193,9.72315,1.07284,-2.56960,0.684062,-18.1934,-1.88202,19.8076,0.466413,-11.4451,0.663203,1.73675,0.952257,11.5850,0.638922,-7.29613
15,23951,-5.32617,0.453819,17.2156,1.20708,6.58515,0.605732,-6.14917,-0.447257,-5.22668,-0.339649,-8.83165,-0.457286,1.60694,0.0415601,10.1448,-0.166423,-1.69480,0.114290,10.1972,-0.335871,-18.5213,-0.676017,-7.24340,0.0815794,2.67446,-0.0384279,-0.267802
16,11900,-1.32075,0.160340,8.61414,1.00190,18.2777,1.25687,0.921534,0.360559,-2.62732,-0.0973453,-5.41477,0.189165,0.132372,0.220430,7.23117,-0.0836922,-9.01959,-0.917430,3.57832,-0.613216,-20.3728,-1.47758,-11.8892,-0.974872,2.42311,-0.702494,-4.65207
17,72724,0.348604,-0.319311,9.38060,0.502070,3.84100,-0.134595,1.27740,0.235465,-9.44436,-0.699208,-5.63059,0.0178144,1.41629,1.69074,10.7267,0.0504052,-6.62851,-0.0769360,7.41744,-0.238989,-12.7046,-1.02744,-11.5332,-0.300005,1.60934,-0.387877,-6.34109
18,9913,0.263623,-0.350526,9.73052,0.293996,11.9753,0.0896337,-6.50184,-0.108228,-11.7070,-0.886856,-11.4236,-1.11436,5.33017,1.51124,10.0129,-0.0507424,-9.44891,0.369060,15.2006,0.209368,-13.4317,0.0374151,-9.34112,-0.406109,1.24718,-0.419721,-7.05334
19,50070,-7.15500,-0.111340,15.8307,0.689733,3.93829,0.280262,0.304812,-0.00985732,-7.47546,-0.343736,-4.55220,0.0873896,8.82732,0.771919,4.82111,-0.701123,-6.90618,0.374967,7.28316,-0.433728,-14.9166,-0.604487,-1.13751,0.754701,11.9530,-0.0916615,-1.79612
20,20852,-10.1292,-0.507298,15.7024,1.09624,5.99579,0.0680046,0.847205,0.0930195,-9.53699,-0.779302,-10.1679,-0.909109,7.24295,0.471912,9.04925,-0.218540,-4.54477,0.535905,10.2498,-0.0915071,-14.7086,0.240662,-11.0127,-0.267153,-4.49034,-0.826417,-6.81192
21,49086,-6.33130,-0.228659,9.36844,0.270414,10.4162,0.415599,-1.53367,0.275645,-4.18450,-0.302071,-10.4306,-0.538830,8.41006,1.34151,3.90663,-0.615960,-8.96717,0.0767255,13.7566,-0.139528,-14.4108,-0.554829,-7.21045,0.0968162,0.332685,-0.474035,-9.24859
22,45171,-1.69968,-0.477007,9.01502,0.764689,5.03340,-0.161475,-4.87622,0.123533,3.31782,-0.535232,-8.42363,-0.0234551,8.93158,1.80692,1.62966,0.113928,-4.46186,-0.182340,10.1697,-0.310098,-18.6358,-1.11946,-8.83990,0.562406,-0.539048,-0.249661,-10.5578
