;Seasonal cumulation of Z-scored aggregated data for GIMMS of Ethiopian kebeles
adminID, pixels,1981S,1982L,1982S,1983L,1983S,1984L,1984S,1985L,1985S,1986L,1986S,1987L,1987S,1988L,1988S,1989L,1989S,1990L,1990S,1991L,1991S,1992L,1992S,1993L,1993S,1994L,1994S,1995L,1995S,1996L,1996S,1997L,1997S,1998L,1998S,1999L,1999S,2000L,2000S,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L
1,285,-10.1196,-6.91407,1.67186,-16.1689,-4.40734,-26.5620,-8.59465,-5.37649,-13.6989,11.9619,-0.259354,3.90984,2.11376,-0.0334473,4.61406,2.54456,11.0002,-16.7560,-3.37180,-24.7831,-7.53599,-14.0442,4.22178,13.5693,-9.40948,-11.4855,2.04222,-2.36126,-1.86199,-6.69597,-6.83125,-7.68899,27.4362,-1.42197,-6.80135,-14.7041,-7.39261,-14.5649,0.842838,-2.58949,-7.18360,-1.13446,9.35663,3.44127,-1.41645,0.694097,4.60368,3.79867,3.34405,-5.01227,2.74137,0.700070,-7.79253,-9.67983,4.78783,-0.413519,-2.28955,10.1782,-10.2140,0.0172034
2,598,-6.69928,11.1301,6.90486,19.0060,-2.22903,-2.80770,-6.77134,13.9086,-2.84821,24.0235,4.51888,11.1248,-0.966194,9.73635,0.745555,19.0522,11.5205,2.04458,-0.667752,-8.03441,-6.67828,-6.63563,2.11851,6.18300,-10.0473,-6.64607,10.0401,7.51929,0.566876,0.645531,-5.91015,-4.00055,31.0024,19.9732,-5.08249,5.76801,-3.58552,-3.32050,-6.22719,0.0886037,-4.44857,-0.692325,7.88407,11.1056,1.59653,0.158869,4.46841,1.00342,-4.85796,2.69897,7.26293,-2.68073,-8.13261,-11.7273,1.90088,-5.87985,-0.935877,14.1872,-6.06090,-8.26245
3,96,-4.70442,4.34555,4.06272,11.4789,4.27408,-13.9868,-3.64919,2.86418,-8.90152,11.9366,1.45826,4.18403,3.06055,5.60773,5.39313,2.84694,13.9657,-9.08435,2.47801,-16.1543,-4.54548,-13.6501,7.13650,7.03028,-3.44735,-6.79423,1.97809,5.97393,2.15357,-3.92290,-3.30891,-2.86992,25.3432,2.77905,-0.304221,-8.08703,-2.39579,-8.43446,0.805769,-3.09885,-12.3016,3.14263,6.57137,7.57303,3.11426,0.282214,3.10871,5.51800,3.90153,-2.43489,-1.29021,-5.21375,-4.13916,-10.8131,5.82068,-3.51780,1.30216,12.5223,-8.90362,-3.95976
4,323,-8.60484,0.426141,8.24459,-5.91560,-6.99009,-23.6310,-12.3292,1.40341,-9.30937,24.2888,-0.780239,-0.422671,-3.93292,7.16386,5.97252,0.857826,2.58213,-14.5714,0.432385,-24.5477,-7.46812,-13.6230,2.33255,7.56534,-10.5718,-5.38579,-1.41023,-8.79961,-3.26659,-9.59922,-3.82257,-2.86217,25.1962,16.0113,-2.32887,-3.63721,-4.95376,-4.13877,-0.961392,-3.32256,-10.0341,5.86195,10.4937,6.72624,0.424992,3.20211,10.2935,2.39833,0.125240,0.196361,0.803686,3.79487,-8.31358,-15.5607,3.42542,1.06663,-1.42032,7.48663,-5.76172,-11.8499
5,244,-6.45824,3.80811,3.37105,-2.66613,-1.23233,-21.9352,-4.05985,-2.73584,-12.4455,18.7610,-0.633123,5.01020,3.14336,0.280551,3.68745,6.39780,12.8194,-8.99368,-2.78729,-16.8355,-4.92847,-10.8590,3.70983,9.05699,-4.27767,-6.69204,4.44446,-2.00241,-1.53821,-3.21901,-6.98413,-5.94686,24.0809,-5.20857,-4.85354,-16.6472,-4.26692,-15.7303,2.62529,-2.20858,-9.24090,-2.45304,7.51008,0.734656,-4.14854,6.03911,6.25387,4.98489,6.07430,-5.74565,0.233113,-3.74828,-7.79089,-7.10039,4.21173,-2.85802,-0.359534,9.07196,-9.81882,3.28335
6,299,-0.897880,7.02183,5.16115,10.1766,3.72697,-12.1313,-2.38616,-0.536185,-9.91225,12.4608,1.20672,0.0839434,2.02987,2.67727,4.04492,6.85270,16.2619,-7.73242,2.41441,-13.6147,-5.05108,-12.4447,6.60319,4.01047,-1.79625,-5.79228,3.85328,3.90357,1.57244,0.0147478,-4.32562,-2.35650,26.7093,-0.148648,-1.10308,-10.2051,-1.90013,-12.7878,3.42804,-3.84431,-11.5481,1.44209,6.16706,4.05055,2.10743,0.935979,3.39569,8.96339,4.23332,0.526867,-1.01657,-2.56209,-4.97736,-7.66674,3.80016,-4.53980,2.17568,7.19865,-9.81584,-4.50460
7,224,-10.1005,-1.05944,3.24960,3.70279,-6.72905,-11.3734,-15.7221,-2.97614,-14.0256,4.14884,-2.47048,0.894167,-6.32459,-3.20830,-2.96988,1.14304,7.51914,-7.10727,-1.18868,-20.4152,-14.0992,-16.5904,-3.90400,1.99146,-6.94995,-9.15427,0.173307,1.37294,-2.86270,-10.5855,-5.57122,-9.64838,14.5688,16.0527,-4.05771,0.645560,-11.0675,-12.6864,-0.705596,-2.87886,-9.17205,-0.902964,5.28320,1.98746,3.88330,5.84201,6.51768,-2.30631,0.0990760,2.42824,8.92233,6.95070,-1.56132,-9.16985,5.35491,3.96561,-2.86938,5.68450,-9.91125,-11.6005
8,118,-14.0265,2.75596,7.26198,4.81157,-10.4895,-15.7659,-20.1129,-0.402655,-11.7035,10.4164,-3.08358,-1.62552,-5.12251,1.39080,-2.60839,0.918294,9.16192,-4.32039,-2.45148,-15.5870,-17.4595,-13.9021,-4.42437,5.39736,-11.4571,-10.4161,-1.43657,1.49743,-3.36424,-5.55560,-4.67051,-6.58182,16.3294,15.8490,-4.72028,1.27433,-8.06059,-8.86413,-9.15773,-0.137341,-9.65660,-0.301643,8.50395,6.32903,1.07835,5.40985,7.18441,2.09254,-4.99332,0.839767,9.45466,5.95260,-4.49627,-17.2590,3.75359,0.705774,-2.00425,6.37280,-6.57606,-10.0044
9,544,-6.38069,2.53514,1.87165,6.76774,-2.51244,-10.3182,-6.28223,1.23081,-12.5414,9.30022,-0.129313,5.16237,-4.09785,-0.395548,-6.66310,4.80788,14.0559,-9.89483,4.13896,-13.8638,-9.67803,-9.34510,0.321567,4.53802,-7.29824,-5.41370,2.48116,8.68383,-0.0511265,-0.719995,-6.23417,-5.91418,22.8633,12.1158,-2.84319,-1.38768,-6.49768,-8.24274,-0.294343,-6.16528,-9.97331,3.16185,5.95711,9.69043,2.37131,4.14889,8.44244,-3.80174,-0.909338,0.0297478,5.99678,0.216824,-6.04267,-12.2313,5.55739,3.91141,-1.84104,5.15446,-9.42286,-4.11524
10,295,-9.96082,1.89200,0.307548,1.16280,-3.75917,-13.3687,-10.2083,1.05292,-13.7460,15.9366,-3.69378,7.76483,1.25739,3.36825,6.16116,4.08925,11.0380,-8.89827,-1.45073,-18.5267,-7.73859,-14.9716,6.14928,9.28402,-8.97372,-6.34789,0.327768,6.15228,-0.577832,-6.48913,-6.20420,-1.73843,24.5095,5.88980,-3.73257,-9.93111,-8.32913,-10.8328,0.788024,-3.10246,-11.2286,3.22285,6.98189,9.30927,2.42305,-0.821562,3.49575,1.60329,2.16825,0.00101323,1.34752,-1.93411,-4.26994,-11.5533,6.26942,-1.97283,-0.925703,9.69705,-8.36298,-4.44925
