;Seasonal cumulation of Z-scored aggregated data for eMODIS of Ethiopian kebeles (Borana)
adminID, pixels,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L,2011S,2012L,2012S,2013L,2013S
1,3448,-2.93347,-10.9008,4.90627,9.12920,14.7775,0.977435,-2.70891,7.66745,6.63274,-2.58827,-0.186364,9.73115,-4.72898,-7.96333,-11.1999,0.971666,-5.22062,-4.97040,11.2106,-11.8736,-10.5488,17.2469,9.82758,2.79041,0.516727,1.65422
2,6982,-4.86453,-9.95302,-3.69678,11.2046,21.2997,6.12790,-1.46807,6.86866,7.85920,-7.26273,0.611897,13.3811,1.88776,-7.77598,-15.1507,1.30553,-8.09318,-3.82590,15.3544,-8.63983,-13.7397,8.10669,3.32506,-2.04477,-0.217670,11.8816
3,1152,-4.07539,-16.7868,6.95232,10.9827,11.9878,6.15632,-1.30335,4.83383,2.43001,-0.335112,-3.00956,0.945226,-5.38104,-4.20040,-9.93262,3.02384,-7.07627,0.173944,17.3325,-11.3741,-7.92442,6.71971,6.47396,-0.129451,0.968739,2.25833
4,3828,1.87076,-12.8294,1.19550,9.53069,19.4806,3.29044,0.0971461,16.5193,9.06065,-1.16427,-0.595951,5.06941,3.45423,-6.43759,-19.6831,1.69182,-4.32527,-5.39111,7.57345,-11.5834,-18.1280,11.1381,12.2382,4.99761,5.45505,5.05040
5,2906,-1.85773,-12.1868,3.15861,9.12260,7.71745,-6.27403,1.75394,9.04234,6.66144,-0.157042,-5.93383,4.35253,-5.18815,-10.3748,-7.05289,4.51936,-4.29577,1.31520,15.7402,-13.7081,-10.7033,18.3725,10.8739,2.26088,2.36996,5.75517
6,3252,-5.46070,-15.6708,-1.46490,8.40111,7.90068,4.84141,2.24814,3.85274,6.97363,1.79497,-0.597796,0.318632,-6.05900,-4.91191,-8.12893,1.66769,-5.92187,3.26430,15.3477,-13.3199,-4.83698,12.6373,9.00220,2.74261,0.452204,5.00151
7,1939,0.988551,-16.0187,4.69942,7.95924,7.88923,4.15609,-3.34594,5.68142,6.28437,-5.31898,-1.30022,9.73828,7.82485,-2.42069,-11.7323,5.80497,-1.05126,2.43391,10.1246,-10.8183,-20.3813,5.45601,9.57419,2.15895,2.72275,5.09832
8,1381,-2.17248,-16.6937,7.65026,13.1790,15.2996,4.09213,4.07406,10.6386,4.18645,-5.89968,-1.13004,6.92795,5.29749,-6.59655,-22.4824,4.03056,-1.27497,-0.757169,10.4569,-7.23588,-19.9049,9.13870,16.3514,7.03066,8.53320,7.09830
9,5738,-9.64616,-17.4673,6.33214,9.17691,9.39632,8.36015,4.92093,7.78109,5.47263,-4.63065,-1.08708,6.91407,-1.49019,-6.26603,-10.4137,5.63170,-2.97005,-0.352610,8.97443,-12.0321,-9.48926,7.48918,3.14322,1.29314,-2.28758,3.54504
10,3494,-4.96349,-14.4059,4.26222,10.6770,15.2474,4.88376,-0.0449717,7.42622,7.73831,-1.79023,-0.794746,4.46896,-0.467823,-2.98333,-13.3944,3.50279,-5.86624,-3.35837,13.7134,-10.5720,-15.4296,8.86774,12.2468,2.88932,-0.307345,3.83192
