;Seasonal cumulation of Z-scored aggregated data for eMODIS of Kenyan divisions
adminID, pixels,2001.00L,2001.00S,2002.00L,2002.00S,2003.00L,2003.00S,2004.00L,2004.00S,2005.00L,2005.00S,2006.00L,2006.00S,2007.00L,2007.00S,2008.00L,2008.00S,2009.00L,2009.00S,2010.00L,2010.00S,2011.00L,2011.00S,2012.00L,2012.00S,2013.00L,2013.00S
1,6392,-3.91791,-6.12605,-18.4085,-8.28195,1.61219,-7.19976,3.82707,0.0252763,6.90231,-9.02281,-7.17128,14.3556,12.1908,3.60350,0.378183,0.583861,-30.1083,-6.72128,17.5796,-5.35076,-4.59531,12.5494,9.55896,11.9596,15.2364,7.45515
2,6548,-3.82846,-6.87407,-19.5839,-7.08050,-0.987403,-8.96845,0.773055,4.54327,7.63949,-14.7046,-6.63948,10.8899,16.6652,1.93730,-1.04143,3.49894,-31.2443,-5.27291,18.8687,-5.46557,-9.31369,10.2678,12.9460,15.1565,17.2187,8.08255
3,4611,-4.48035,-0.0158525,-6.73513,-7.52794,1.67103,-4.97991,4.47119,-0.660547,3.25646,-15.1623,-6.10779,11.5736,11.6061,0.812067,-2.40602,2.99399,-28.3051,-9.38670,20.1575,-3.35225,-5.95508,9.51499,4.02095,10.0355,12.0672,5.29723
4,5019,-6.23963,-0.0253898,-10.0763,-5.82044,1.98042,-4.77893,3.22072,-1.80166,1.62417,-13.0184,-2.05416,11.2149,13.4636,3.24133,-3.03954,1.48414,-25.7272,-7.31279,16.8077,-7.24162,-5.22695,10.7628,3.86317,10.3665,13.8749,5.09838
5,5149,-6.68656,0.261744,-16.0957,-9.22725,0.809344,-6.90855,2.62251,-4.89563,1.61015,-11.8952,-5.78746,12.6180,15.4404,4.55352,-3.86282,2.39442,-29.7963,-5.28465,17.6370,-9.76472,-2.06772,15.5993,10.4220,11.2517,17.8895,6.68525
6,18444,-0.565909,-1.03317,-18.3849,-7.96119,0.485231,-10.8553,-6.26407,-2.50744,1.88656,-10.6003,-10.5154,12.8774,15.9205,0.646629,-1.36591,1.97428,-22.4761,0.690275,17.9435,-6.84452,-0.749164,15.9364,13.4300,7.29420,15.1312,6.06470
7,4244,9.24818,1.18947,-1.87606,-4.80246,5.44885,3.26580,7.38017,2.15233,-1.27760,-12.9540,-9.31015,8.11653,12.9942,3.47882,-13.2779,0.0592634,-35.3526,-10.2462,17.0185,-6.44316,-3.22310,4.72568,2.73184,6.88414,10.1913,7.13111
8,2316,-2.97663,-3.94421,-15.4008,-9.65084,2.00777,-7.81320,-1.65147,0.188322,1.43160,-17.2497,-7.60579,11.8014,17.4557,3.41176,-1.18311,2.79386,-31.6941,-5.87097,20.5624,-3.66456,-7.21258,7.32215,12.6253,15.2965,16.4073,11.0074
9,29733,-6.61755,-1.62799,-15.2286,-9.56058,-1.30196,-7.02778,-2.20902,-1.73277,0.632084,-9.89074,-12.2689,12.1101,12.7881,-0.343616,-4.69752,1.12748,-21.6064,-1.11852,19.3281,-10.3012,3.96060,17.8575,16.0174,7.41300,16.4823,6.62751
10,8637,-11.0097,-0.302438,-11.2758,-9.73088,2.73237,-6.96513,-2.95050,-5.17882,-6.16551,-11.2694,-13.0718,9.29449,15.3598,-1.23992,-4.95686,3.71848,-25.3508,-3.54854,20.5648,-8.74011,2.46006,14.0797,15.2427,12.2566,19.3822,10.8802
