adminID, pixels,1981S,1982L,1982S,1983L,1983S,1984L,1984S,1985L,1985S,1986L,1986S,1987L,1987S,1988L,1988S,1989L,1989S,1990L,1990S,1991L,1991S,1992L,1992S,1993L,1993S,1994L,1994S,1995L,1995S,1996L,1996S,1997L,1997S,1998L,1998S,1999L,1999S,2000L,2000S,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L
1,528,-4.02719,2.04115,6.12105,-8.03310,0.0645091,-31.5055,-4.32918,2.69765,-5.54791,-6.18497,-9.97080,-2.05893,-2.37137,-0.279891,5.55276,5.49371,7.10099,-0.929338,0.519689,-9.29686,-5.22894,-10.6561,3.80759,-2.42243,-5.10074,-1.42782,11.9595,-12.8952,-0.546967,-6.62486,-2.87076,7.06001,14.8769,3.26978,1.05040,-10.4260,-5.06622,-25.8895,-6.28138,2.40138,0.148929,-4.67716,0.227778,3.77493,-3.95242,3.04676,-0.558070,1.45561,-7.27233,-8.64609,7.31154,6.64563,1.66113,3.18066,0.254711,-22.3396,-2.99082,9.56259,-4.29291,5.59533
2,564,1.94586,3.96677,10.7860,1.29531,2.34044,-36.9986,-3.64205,6.74997,-5.80777,1.29073,-10.0258,2.06950,-4.98364,-0.955250,4.26489,5.82578,7.74998,3.84667,1.55045,-13.0594,-8.14622,-9.76521,3.22297,-3.68040,-7.26967,-4.89693,5.52350,-4.40257,2.33796,-5.33868,-2.64916,8.35849,15.4977,7.90721,5.64120,-4.29852,-4.35520,-28.7637,-2.89206,3.84519,1.29680,-1.76258,-1.07318,-1.89847,-3.25199,2.90927,3.26812,5.93929,-9.08632,-1.13654,4.05991,7.83605,1.42778,1.42206,2.16919,-21.0704,-6.31809,7.56825,0.541933,-3.65210
3,392,-1.98041,6.51017,4.77053,-2.59524,3.07426,-18.4776,-1.89727,1.68425,-3.10543,3.67606,-4.54979,2.35505,-2.76082,0.531066,4.25615,8.34608,10.8270,6.58863,5.24240,-1.45979,-2.86433,-4.93455,4.97558,-0.628107,-6.95811,-1.51130,8.53507,-0.549615,3.10785,-1.09908,3.69417,7.49436,10.2975,8.57789,3.62997,1.00444,-5.08721,-21.1347,-4.61624,-5.02692,-0.606015,-2.86484,-1.43234,1.96545,-3.05581,1.09218,-0.200818,3.10239,-6.36912,-7.23779,4.70325,5.94033,0.431632,-0.0810970,1.81008,-19.0715,-4.43487,16.8205,-0.518765,5.36128
4,436,-1.43139,5.79949,3.38082,-2.48007,-0.994197,-28.9823,-2.47509,3.05759,-6.03413,3.61747,-7.15698,2.55876,-6.04992,1.26094,2.99938,8.66619,6.49054,6.83146,2.82963,-7.22730,-6.01842,-6.43406,2.96859,-3.10449,-6.92739,2.37921,6.13576,-3.77049,-0.819678,-2.32750,-2.54798,9.89870,9.33004,9.01168,2.82512,1.16709,-4.01059,-19.0816,-4.56832,-0.785443,1.92127,-4.70205,-3.16590,-0.876018,-3.43614,1.34368,-0.842080,2.16267,-6.63618,-4.43026,5.99919,8.02013,1.23858,0.312128,2.59979,-17.0501,-3.68498,13.6378,-2.18151,2.36751
5,440,-4.49800,1.78804,4.03250,-2.93998,-2.73714,-27.5846,-2.37920,2.28197,-4.77171,-1.35699,-7.11377,0.584712,-4.96201,-0.310645,3.62218,4.03922,4.68840,1.21813,-0.380341,-9.93026,-5.96659,-8.66380,3.64865,-5.83231,-6.01313,-0.816564,5.42387,-11.7581,-3.76569,-4.80805,-5.03536,9.25631,8.27012,4.92036,1.66746,-5.54217,-4.84158,-20.8713,-4.38671,-0.487772,3.14941,-5.15651,-2.88541,0.433722,-3.67140,1.86499,-2.38698,-0.953831,-9.14036,-5.58979,6.64925,10.8880,1.38638,-3.31767,2.93038,-19.7109,-0.522620,13.8345,-5.23356,8.19515
6,1553,-3.49167,-0.188513,6.23603,-12.1446,1.32629,-34.8680,-4.34343,1.25733,-3.16432,-9.26008,-8.55552,-1.13146,-1.48015,1.57576,3.72403,4.08914,7.48642,-5.57259,-0.527842,-14.4574,-3.38829,-13.8257,2.38837,-4.79229,-4.17556,-7.90749,7.06129,-17.4004,-0.660947,-7.74180,-2.91020,10.8932,17.4041,3.05342,0.950201,-3.57434,-1.79324,-24.0006,-3.49421,4.91138,2.35587,-4.99870,-1.23239,-0.786640,-5.90802,-4.75808,-0.789541,0.482104,-7.12067,-9.86442,5.60224,9.35398,-0.492669,2.95956,2.50265,-12.2077,-0.174278,8.48171,-4.48804,6.42679
7,360,2.39320,2.85859,7.08264,-2.23192,1.92198,-31.1361,-2.51977,5.40495,-9.69737,4.89642,-2.92214,2.64655,-3.68216,4.26536,-0.243138,5.63701,4.51234,8.48414,1.79721,-3.03033,-10.4668,-8.07937,2.25364,-0.781329,-11.6302,-0.465981,10.0256,-2.71498,1.65891,3.21483,-3.09230,6.59379,13.7678,6.07238,3.49041,0.475100,-2.34198,-16.1302,-4.94620,9.87988,1.79090,1.77682,-1.92117,-1.70321,1.93937,4.21350,1.82638,-1.05216,-9.78040,-3.85229,1.95779,6.19069,1.15339,-9.54133,3.98742,-23.2160,-2.01608,11.0972,-1.14262,6.20692
8,193,0.439703,9.55299,9.07705,1.70251,5.54071,-24.9805,-1.48059,11.5561,-3.83626,2.11587,-7.84758,3.08349,-3.13125,-1.76966,2.84515,10.8578,12.3753,9.62369,4.59480,-5.35981,-2.96536,-5.38077,3.14709,-2.33905,-12.2367,-2.03331,9.83420,3.63961,5.83970,1.39444,3.44516,11.2495,11.3403,8.29946,2.31312,3.40680,-3.81019,-33.4040,-1.35799,-1.23087,0.949471,-1.51764,-2.81632,1.61533,-2.90655,-0.476823,1.70602,3.97859,-9.36169,-3.32667,3.76175,5.44505,1.98387,-0.417985,3.63957,-19.7053,-7.72864,15.7917,2.97583,-0.155352
9,2510,-2.84589,-0.0117417,8.72070,-5.44794,1.29393,-24.8251,-2.11287,5.34128,-1.46112,-0.182021,-5.88535,0.620589,-0.182613,5.28990,4.70079,7.11318,7.50337,-3.05754,-1.41716,-8.12193,-1.83739,-12.2113,5.40044,-4.60432,-3.53408,-0.999224,4.45028,-12.1497,-2.38838,-3.25789,-1.64728,14.6256,17.0562,0.117285,1.31988,-4.16666,-3.16559,-18.9320,-2.64953,0.824935,2.66020,-5.41252,-3.54350,-1.44370,-3.58883,-2.03952,-0.954692,-0.490894,-7.63497,-10.2308,6.33837,7.05112,-2.05454,-2.47737,2.22979,-13.1470,0.711514,13.4791,-6.11021,13.8867
10,801,-4.77983,-1.64160,1.63244,-5.33435,-2.02409,-29.8210,-6.65005,4.04646,-9.07507,3.21733,-7.87055,2.87866,-5.31541,4.57840,-0.142767,4.62477,1.82015,-0.729742,-5.31645,-6.46326,-8.80631,-10.4385,-2.34702,-7.27478,-10.1221,-2.00911,1.06717,-7.67394,-4.32797,-1.25643,-4.14902,11.3017,10.4691,5.41607,0.724699,-1.81125,-5.79723,-17.5737,-4.78553,3.36059,4.25299,-2.22876,-4.15833,0.162600,-2.77407,-1.00483,-1.99063,-2.85723,-5.37849,-10.9432,7.65765,11.1449,-1.69293,-3.83148,2.81011,-18.8400,-3.88382,14.5951,-1.44352,10.4424
