;Seasonal cumulation of Z-scored aggregated data for eMODIS of Kenyan divisions and Ethiopian clustered kebeles
adminID, pixels,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L,2011S,2012L,2012S,2013L,2013S,2014L
1,6392,-2.71785,-3.99733,-10.5575,-6.22002,2.33253,-5.10971,5.36197,1.97344,3.92290,-6.74151,-5.71075,15.8374,8.70981,5.56003,-0.370040,2.73105,-13.6047,-4.71084,17.6716,-3.11433,-5.03797,14.4041,6.20715,14.0548,14.2368,9.55911,-6.18781
2,6548,-1.54331,-4.48562,-9.46956,-5.04377,0.113268,-6.77816,3.15036,6.80750,8.40014,-12.2615,-2.99589,12.7721,11.6103,4.48108,-1.61325,6.16572,-15.9234,-3.31713,18.5960,-2.87729,-10.3247,12.8441,8.65973,18.0980,16.6678,10.9515,-4.29404
3,4611,-4.22561,1.41008,-0.451232,-5.79546,0.819628,-3.36818,5.64311,0.825051,1.95391,-13.0611,-7.09643,12.5925,7.34056,2.27885,-3.23538,4.45246,-13.6216,-7.58271,18.5685,-1.69267,-5.69545,10.8399,0.586497,11.4576,11.3553,6.77001,-9.25781
4,5019,-5.96463,1.41295,-2.49043,-4.12060,0.989405,-3.11544,4.97740,-0.242016,0.351978,-10.9507,-3.14588,12.3327,9.74085,4.69594,-4.23504,2.99530,-10.5227,-5.63007,16.1456,-5.40253,-5.84660,12.0906,1.48132,11.8585,12.8059,6.47298,-7.49997
5,5149,-4.74220,2.03081,-5.36123,-6.90211,0.616385,-4.79760,5.57186,-2.91016,0.186971,-9.68800,-5.22773,14.2426,11.9018,6.19911,-3.64074,4.15452,-13.2966,-3.32134,17.7103,-7.55729,-3.71891,17.1528,7.12105,13.1621,16.6324,8.62083,-5.01881
6,18444,-0.921749,0.606479,-7.12877,-6.31366,1.41055,-8.98141,-0.193893,-0.867643,1.51358,-8.59961,-6.97241,13.6769,9.99922,2.22047,-1.68968,3.59001,-9.10210,1.77432,17.8351,-4.95762,-4.74989,17.0774,10.6157,8.96448,13.3760,7.68050,-9.56151
7,4244,6.04104,2.45123,3.37994,-3.47390,1.09100,4.34568,8.74627,3.43735,-3.93791,-11.0984,-7.26433,9.00580,8.24934,4.79232,-11.4607,1.52959,-17.6793,-8.58294,15.9413,-4.67406,-3.10665,6.15239,0.577604,8.26251,8.36618,8.61345,-6.51080
8,2316,-2.02164,-1.50026,-5.33067,-7.44883,0.724168,-5.55886,3.66044,2.66306,1.99885,-14.9657,-4.88025,14.2549,11.8522,6.23148,-1.91565,5.78719,-16.6054,-3.74887,20.6778,-0.934596,-8.15979,10.4735,8.57367,18.9152,14.9000,14.6016,-7.70027
9,29733,-3.43484,0.0822228,-4.39976,-7.72809,-1.17806,-5.20540,3.55885,-0.178987,1.02651,-7.86494,-8.95761,13.0881,8.27007,1.33161,-4.61998,2.96295,-8.96455,-0.0117826,18.5274,-8.29755,0.171992,19.3120,11.5993,9.34088,13.1716,8.51079,-9.69814
10,8643,-8.98223,1.71135,0.246215,-7.27771,2.45988,-4.85081,4.23934,-2.87435,-3.86089,-9.06066,-10.6412,12.1639,11.6887,1.33985,-4.37753,6.33780,-10.7400,-0.865021,20.3082,-6.04826,-0.340420,17.8145,12.2189,16.1841,18.0674,15.0402,-3.45038
11,14326,-2.04249,-1.78975,1.46896,-9.42509,-0.229633,-1.36301,4.92196,1.24041,-1.54082,-10.0302,-6.47366,13.8907,8.28533,2.62510,-8.66729,3.51226,-16.0138,-4.22304,18.3341,-6.18758,1.95740,20.9949,9.33824,8.42349,14.8329,10.5819,-5.13287
12,6442,-0.0347323,2.07855,3.28795,-9.10964,0.759849,-3.30169,5.44704,1.00565,-3.34342,-12.0581,-10.7400,9.98803,8.82116,7.28900,-7.80860,6.75651,-17.6142,-2.39005,19.2894,-6.39341,1.93551,16.0537,8.58948,9.25292,18.3428,14.8218,-3.13983
13,2512,-0.212407,1.06407,1.25090,-6.38656,3.99033,-2.71830,4.68503,2.83909,-0.429233,-9.59639,-6.72923,12.3405,10.1083,6.41971,-0.905714,3.17665,-16.5820,-12.9596,18.0196,-1.05160,-13.1956,9.53035,0.739120,11.8819,8.88162,8.24722,-7.43842
14,3193,-3.29481,1.44797,3.32538,-6.61303,6.39936,-3.80937,5.93968,-2.89482,0.696136,-8.80457,-10.7322,11.3156,8.99691,8.26893,-2.44726,3.95822,-16.4275,-7.59089,18.9702,-2.42521,-11.4258,11.3482,1.61424,11.1523,10.9944,8.96649,-6.41085
15,23951,-5.45335,11.1353,15.6873,6.37696,5.85114,4.43696,-5.99837,0.250171,-4.79340,-14.4999,-8.13378,13.8431,1.60212,-0.384453,9.56305,-3.10557,-1.04298,-2.74782,10.2761,-16.8324,-17.5578,7.73070,-6.95236,-6.56696,2.77446,0.580982,1.04572
16,11900,-1.33964,-1.60979,7.68006,14.2492,16.5197,8.00714,0.917809,6.61164,-2.82224,-13.8709,-4.99409,20.7697,0.357400,-3.45529,6.68006,-3.48954,-8.05176,-8.16682,4.14594,-13.8245,-19.0933,0.00862285,-10.9921,-5.64398,2.87510,-9.28001,-3.09565
