;Seasonal cumulation of Z-scored aggregated data for eMODIS of Ethiopian woredas (Borana)
adminID, pixels,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L,2011S,2012L,2012S,2013L,2013S,2014L
201,78730,-1.96515,-11.6237,0.955581,10.6054,7.97855,4.68524,2.51702,9.08576,5.71915,-5.41732,-0.657354,8.08325,-1.55518,-7.63805,-9.80436,3.37232,-1.56721,-4.00601,9.12005,-8.28310,-10.7411,11.1603,2.75381,3.37532,5.37049,7.50135,-3.24175
202,70643,0.462145,-6.67621,-3.00117,7.74666,12.4481,5.63086,3.30951,10.2148,3.53947,-8.72451,0.436673,12.9616,0.557493,-6.55863,-8.74113,-0.969289,-1.80093,-6.42918,8.23535,-5.89386,-15.4455,13.2463,-0.439380,9.20734,16.3174,7.16057,2.91160
203,95503,0.859170,-6.48156,-1.36548,9.27275,15.8073,4.61461,-0.463941,5.33335,0.658864,-10.3846,-1.26615,5.27385,-0.265480,-5.78638,-7.48715,-0.559429,-5.11164,0.684017,10.8559,-9.07297,-12.2214,9.82449,-3.96629,2.04298,1.21873,1.71567,-5.05731
204,60066,1.13337,-7.31945,1.34613,8.70707,12.7424,2.73764,1.14614,8.91164,4.68605,-11.1670,0.127681,8.26574,-0.313709,-6.76554,-9.44850,4.74326,-7.60314,-2.21179,9.13095,-9.57303,-12.9474,13.8606,0.227809,2.61260,6.52318,-0.656074,-5.02684
205,29600,-3.67143,-8.73440,-0.715095,4.81251,0.161637,0.654896,2.93327,7.93322,5.77914,-1.68528,4.05764,12.6207,-1.50046,-8.39948,-5.07961,3.81957,-1.62008,-5.01398,8.20717,-10.6709,-8.55216,8.11531,-3.11327,0.606886,-6.61832,5.04917,-4.82515
206,20520,-2.64984,-11.7164,-2.70771,9.64320,-1.04594,-3.91840,1.07807,7.59484,6.13818,3.35680,4.29208,7.08766,-6.55603,-8.92768,-0.779777,2.29744,-0.258777,-1.23001,10.5709,-14.0126,-8.08114,8.79888,1.55497,2.20207,-8.56565,6.61207,1.85133
207,26670,0.352373,-9.81736,1.20647,6.33378,12.4023,8.36531,1.64146,9.82362,3.46976,-12.6613,-0.693836,16.9155,5.01634,-5.19421,-3.68877,0.124874,-3.16695,-1.95453,2.63231,-11.5291,-19.1714,7.63466,-1.10246,6.50281,10.9003,2.16893,3.48935
208,19396,-2.56575,-7.86671,-2.89793,7.57213,11.9320,4.43601,3.44577,10.2497,0.158875,-14.5386,-0.432528,22.0032,6.16828,-6.11038,-1.69307,-0.208374,2.65792,-4.46146,3.25142,-10.7081,-20.0251,8.65985,-3.80468,1.00776,7.87939,-1.42731,2.61781
209,104111,-4.86343,-8.10454,-2.94217,8.93697,9.20919,-0.769185,-1.14428,-0.0574723,6.28356,-8.39583,2.60074,12.8785,5.11726,-2.15423,-4.87618,3.92498,-5.40610,-2.01480,10.1117,-8.71659,-14.0903,11.7247,1.55418,1.37812,-1.22071,1.21356,-4.63978
210,76900,-4.26972,-10.0794,-1.05379,6.66859,5.88358,2.32574,4.58148,7.05733,6.08945,-4.12536,1.39658,10.0137,-2.09795,-8.66399,-8.97071,4.21642,-2.56205,-1.80722,9.97342,-9.07273,-8.97033,8.30290,-3.53001,-1.21538,-3.50045,2.94408,-10.1228
