COUNTRY,PROVINCE,DISTRICT,DIVI_WOR,IBLI_UNIT,IBLI_ID,Aug/Sep2014,,,,,Jan/Feb2014,,,,,Aug/Sep2013,,,,,Jan/Feb2013,,,,,Aug/Sep2012,,,,,Jan/Feb2012,,,,
,,,,,,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate
KENYA,RIFT VALLEY,BARINGO,BARTABWA,BARTABWA,1,0.04023,0.04776,0.05148,0.063,0.08412,0.04143,0.0492,0.0531,0.06232,0.08161,0.04143,0.0492,0.0531,0.06232,0.08161,0.04271,0.0474,0.05484,0.05905,0.08264,0.04271,0.0474,0.05484,0.05905,0.08264,0.04408,0.0489,0.05669,0.06087,0.08371
KENYA,RIFT VALLEY,BARINGO,BARWESA,BARWESA,2,0.045,0.08082,0.0972,0.11069,0.12901,0.04518,0.08204,0.09908,0.11165,0.12815,0.04518,0.08204,0.09908,0.11165,0.12815,0.04531,0.07992,0.10104,0.10917,0.13067,0.04531,0.07992,0.10104,0.10917,0.13067,0.04537,0.07964,0.10307,0.1125,0.13332
KENYA,RIFT VALLEY,BARINGO,KABARNET,KABARNET,3,0.04584,0.05844,0.06289,0.09545,0.10586,0.04669,0.06025,0.0647,0.09739,0.10547,0.04669,0.06025,0.0647,0.09739,0.10547,0.04789,0.05884,0.06663,0.0961,0.10841,0.04789,0.05884,0.06663,0.0961,0.10841,0.04917,0.06025,0.06869,0.09197,0.11155
KENYA,RIFT VALLEY,BARINGO,KABARTONJO,KABARTONJO,4,0.06229,0.07364,0.11906,0.13902,0.14995,0.06224,0.07598,0.11553,0.14323,0.14923,0.06224,0.07598,0.11553,0.14323,0.14923,0.06189,0.07514,0.10998,0.14437,0.15346,0.06189,0.07514,0.10998,0.14437,0.15346,0.06115,0.07769,0.10148,0.1461,0.15798
KENYA,RIFT VALLEY,BARINGO,KIPSARAMAN,KIPSARAMAN,5,0.06136,0.07731,0.09856,0.11006,0.12239,0.06332,0.07749,0.10055,0.11251,0.12084,0.06332,0.07749,0.10055,0.11251,0.12084,0.06542,0.07413,0.10263,0.11176,0.12415,0.06542,0.07413,0.10263,0.11176,0.12415,0.06766,0.07523,0.1048,0.11486,0.12768
KENYA,RIFT VALLEY,BARINGO,KOLLOWA,KOLLOWA,6,0.05153,0.06358,0.07629,0.08564,0.09792,0.05131,0.06541,0.07579,0.08782,0.09647,0.05131,0.06541,0.07579,0.08782,0.09647,0.0509,0.06402,0.07575,0.08681,0.09828,0.0509,0.06402,0.07575,0.08681,0.09828,0.05025,0.06612,0.07637,0.08966,0.10018
KENYA,RIFT VALLEY,BARINGO,MOCHONGOI,MOCHONGOI,7,0.06019,0.09266,0.11461,0.12523,0.13475,0.06042,0.09412,0.11579,0.12833,0.13537,0.06042,0.09412,0.11579,0.12833,0.13537,0.06048,0.0922,0.11733,0.12829,0.13947,0.06048,0.0922,0.11733,0.12829,0.13947,0.06032,0.09292,0.11942,0.13234,0.14385
KENYA,RIFT VALLEY,BARINGO,SALAWA,SALAWA,8,0.0606,0.07617,0.07948,0.08996,0.10198,0.06096,0.07861,0.08203,0.09264,0.09956,0.06096,0.07861,0.08203,0.09264,0.09956,0.06119,0.07787,0.08475,0.09216,0.10141,0.06119,0.07787,0.08475,0.09216,0.10141,0.06124,0.07932,0.08765,0.09435,0.10357
KENYA,RIFT VALLEY,BARINGO,NGINYANG,NGINYANG,9,0.05664,0.10982,0.1233,0.14188,0.1565,0.0566,0.1126,0.12646,0.14513,0.15642,0.0566,0.1126,0.12646,0.14513,0.15642,0.05636,0.11217,0.1298,0.14522,0.15989,0.05636,0.11217,0.1298,0.14522,0.15989,0.05587,0.11351,0.13332,0.14718,0.16382
KENYA,RIFT VALLEY,BARINGO,MARIGAT,MARIGAT,10,0.05628,0.08115,0.10654,0.11859,0.12992,0.05617,0.08237,0.10647,0.12033,0.12951,0.05617,0.08237,0.10647,0.12033,0.12951,0.05584,0.08025,0.10608,0.11874,0.13382,0.05584,0.08025,0.10608,0.11874,0.13382,0.05524,0.08112,0.10638,0.12282,0.13843
KENYA,RIFT VALLEY,BARINGO,TANGULBEI,TANGULBEI,11,0.06804,0.08355,0.09895,0.10998,0.13074,0.0688,0.0847,0.10133,0.11178,0.1293,0.0688,0.0847,0.10133,0.11178,0.1293,0.06944,0.0825,0.10385,0.11077,0.12989,0.06944,0.0825,0.10385,0.11077,0.12989,0.06992,0.08464,0.10652,0.11421,0.13052
KENYA,RIFT VALLEY,BARINGO,MUKUTANI,MUKUTANI,12,0.06157,0.07953,0.09668,0.10788,0.11942,0.06351,0.07973,0.09958,0.11045,0.11901,0.06351,0.07973,0.09958,0.11045,0.11901,0.06559,0.07637,0.10268,0.10982,0.12225,0.06559,0.07637,0.10268,0.10982,0.12225,0.06781,0.07752,0.10598,0.1128,0.1257
KENYA,RIFT VALLEY,BARINGO,SACHO,SACHO,13,0.0609,0.09349,0.10368,0.11076,0.13045,0.06284,0.09555,0.10667,0.11412,0.12662,0.06284,0.09555,0.10667,0.11412,0.12662,0.06492,0.09436,0.10986,0.11436,0.12624,0.06492,0.09436,0.10986,0.11436,0.12624,0.06714,0.09471,0.11326,0.11824,0.12779
KENYA,RIFT VALLEY,BARINGO,TENGES,TENGES,14,0.0559,0.06554,0.07429,0.08131,0.09024,0.05762,0.06735,0.07583,0.08393,0.08872,0.05762,0.06735,0.07583,0.08393,0.08872,0.05945,0.06595,0.07759,0.0834,0.09108,0.05945,0.06595,0.07759,0.0834,0.09108,0.06141,0.06775,0.07946,0.0862,0.09359
KENYA,NORTH EASTERN,GARISSA,BALAMBALA,BALAMBALA,15,0.05208,0.0815,0.09663,0.1122,0.1377,0.0532,0.08409,0.09618,0.11227,0.13651,0.0532,0.08409,0.09618,0.11227,0.13651,0.05473,0.08352,0.09574,0.12452,0.14146,0.05473,0.08352,0.09574,0.12452,0.14146,0.05636,0.08361,0.09683,0.12444,0.14487
KENYA,NORTH EASTERN,GARISSA,BENANE,BENANE,16,0.06676,0.0917,0.10364,0.11236,0.1271,0.07107,0.08885,0.09219,0.10285,0.1129,0.07107,0.08885,0.09219,0.10285,0.1129,0.07617,0.08493,0.0924,0.10084,0.11673,0.07617,0.08493,0.0924,0.10084,0.11673,0.07727,0.08785,0.09527,0.10287,0.11857
KENYA,NORTH EASTERN,GARISSA,BURA,BURA GARISSA,17,0.05031,0.08539,0.09055,0.10924,0.12681,0.06475,0.07917,0.0848,0.10712,0.11684,0.06475,0.07917,0.0848,0.10712,0.11684,0.0646,0.07842,0.09162,0.10781,0.12103,0.0646,0.07842,0.09162,0.10781,0.12103,0.06409,0.08093,0.09118,0.11102,0.12398
KENYA,NORTH EASTERN,GARISSA,CENTRAL,CENTRAL GARISSA,18,0.05755,0.06568,0.0799,0.09486,0.14385,0.05935,0.06724,0.08084,0.10598,0.14734,0.05935,0.06724,0.08084,0.10598,0.14734,0.06151,0.06918,0.08445,0.12525,0.14234,0.06151,0.06918,0.08445,0.12525,0.14234,0.06353,0.07105,0.08629,0.12152,0.14613
KENYA,NORTH EASTERN,GARISSA,SHANT-ABAK,SHANT-ABAK,19,0.05351,0.06506,0.07411,0.08998,0.11396,0.05621,0.06798,0.07294,0.09676,0.10789,0.05621,0.06798,0.07294,0.09676,0.10789,0.05796,0.06739,0.08119,0.09708,0.11144,0.05796,0.06739,0.08119,0.09708,0.11144,0.05983,0.06848,0.0818,0.09931,0.11292
KENYA,NORTH EASTERN,GARISSA,SANKURI,SANKURI,20,0.06114,0.0746,0.10482,0.13212,0.16334,0.06137,0.07673,0.10278,0.13059,0.16207,0.06137,0.07673,0.10278,0.13059,0.16207,0.06143,0.07577,0.10542,0.14436,0.16697,0.06143,0.07577,0.10542,0.14436,0.16697,0.06126,0.07799,0.0998,0.14452,0.16958
KENYA,NORTH EASTERN,GARISSA,DADAAB,DADAAB,21,0.07122,0.08373,0.09457,0.10373,0.13079,0.06372,0.07615,0.08196,0.09259,0.11709,0.06372,0.07615,0.08196,0.09259,0.11709,0.06582,0.07512,0.08481,0.1064,0.12041,0.06582,0.07512,0.08481,0.1064,0.12041,0.06806,0.07634,0.08713,0.1049,0.12362
